,2022-12-31,2021-12-31
Free Cash Flow,-1797519.0,-3757970.0
Repayment Of Debt,-617213.0,-86488.0
Issuance Of Debt,3332860.0,325000.0
Issuance Of Capital Stock,1210484.0,1239780.0
Capital Expenditure,-163888.0,-285655.0
Interest Paid Supplemental Data,149286.0,39382.0
Income Tax Paid Supplemental Data,0.0,0.0
End Cash Position,1923332.0,1334611.0
Beginning Cash Position,1334611.0,3721460.0
Effect Of Exchange Rate Changes,61771.0,23445.0
Changes In Cash,526950.0,-2410294.0
Financing Cash Flow,3451969.0,1478292.0
Cash Flow From Continuing Financing Activities,3451969.0,1478292.0
Net Other Financing Charges,-474162.0,
Net Preferred Stock Issuance,1210484.0,1239780.0
Preferred Stock Issuance,1210484.0,1239780.0
Net Issuance Payments Of Debt,2715647.0,238512.0
Net Long Term Debt Issuance,2715647.0,238512.0
Long Term Debt Payments,-617213.0,-86488.0
Long Term Debt Issuance,3332860.0,325000.0
Investing Cash Flow,-1291388.0,-416271.0
Cash Flow From Continuing Investing Activities,-1291388.0,-416271.0
Net Business Purchase And Sale,-1127500.0,-130616.0
Purchase Of Business,-1127500.0,-130616.0
Net PPE Purchase And Sale,-18298.0,-30491.0
Purchase Of PPE,-18298.0,-30491.0
Capital Expenditure Reported,-145590.0,-255164.0
Operating Cash Flow,-1633631.0,-3472315.0
Cash Flow From Continuing Operating Activities,-1633631.0,-3472315.0
Change In Working Capital,1188188.0,-256111.0
Change In Other Working Capital,568823.0,4085.0
Change In Other Current Liabilities,-109952.0,0.0
Change In Payables And Accrued Expense,1385734.0,125.0
Change In Accrued Expense,85919.0,87686.0
Change In Payable,1299815.0,-87561.0
Change In Account Payable,1299815.0,-87561.0
Change In Prepaid Assets,-220229.0,-92781.0
Change In Inventory,-70213.0,-194929.0
Change In Receivables,-365975.0,27389.0
Changes In Account Receivables,-365975.0,27389.0
Other Non Cash Items,-22852.0,
Stock Based Compensation,11994.0,13922.0
Unrealized Gain Loss On Investment Securities,-45869.0,0.0
Asset Impairment Charge,589299.0,0.0
Deferred Tax,-541406.0,-58305.0
Deferred Income Tax,-541406.0,-58305.0
Depreciation Amortization Depletion,683729.0,268835.0
Depreciation And Amortization,683729.0,268835.0
Amortization Cash Flow,352593.0,213220.0
Amortization Of Intangibles,352593.0,213220.0
Depreciation,331136.0,55615.0
Operating Gains Losses,,19346.0
Gain Loss On Sale Of PPE,0.0,19346.0
Net Income From Continuing Operations,-3542583.0,-3460002.0
