,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,47688096.0,46502000.0,46502000.0
Share Issued,47688096.0,46502000.0,46502000.0
Net Debt,606000.0,48778000.0,300000.0
Total Debt,41857000.0,59531000.0,26143000.0
Tangible Book Value,-70487000.0,-32314000.0,-92258000.0
Invested Capital,-31844000.0,24149000.0,-66115000.0
Working Capital,-609000.0,-32484000.0,5715000.0
Net Tangible Assets,-70487000.0,-32314000.0,-34285000.0
Capital Lease Obligations,3214000.0,3068000.0,0.0
Common Stock Equity,-70487000.0,-32314000.0,-92258000.0
Preferred Stock Equity,,57999000.0,57973000.0
Total Capitalization,-70487000.0,-29211000.0,-32282000.0
Total Equity Gross Minority Interest,-70487000.0,-32314000.0,-34285000.0
Stockholders Equity,-70487000.0,-32314000.0,-34285000.0
Gains Losses Not Affecting Retained Earnings,-700000.0,0.0,
Other Equity Adjustments,-700000.0,,
Retained Earnings,-212799000.0,-132192000.0,-94448000.0
Additional Paid In Capital,143007000.0,99875000.0,2139000.0
Capital Stock,5000.0,3000.0,58024000.0
Common Stock,5000.0,3000.0,51000.0
Preferred Stock,0.0,0.0,57973000.0
Total Liabilities Net Minority Interest,142199000.0,83684000.0,73636000.0
Total Non Current Liabilities Net Minority Interest,76774000.0,7817000.0,42025000.0
Other Non Current Liabilities,68525000.0,2551000.0,900000.0
Preferred Securities Outside Stock Equity,,39122000.0,39122000.0
Derivative Product Liabilities,5943000.0,0.0,
Long Term Debt And Capital Lease Obligation,2306000.0,5266000.0,2003000.0
Long Term Capital Lease Obligation,2306000.0,2163000.0,0.0
Long Term Debt,,3103000.0,2003000.0
Current Liabilities,65425000.0,75867000.0,31611000.0
Current Deferred Liabilities,,0.0,202000.0
Current Deferred Revenue,,0.0,202000.0
Current Debt And Capital Lease Obligation,39551000.0,54265000.0,24140000.0
Current Capital Lease Obligation,908000.0,905000.0,0.0
Current Debt,38643000.0,53360000.0,24140000.0
Other Current Borrowings,38643000.0,53360000.0,24140000.0
Pensionand Other Post Retirement Benefit Plans Current,1687000.0,3453000.0,2227000.0
Payables And Accrued Expenses,24187000.0,18149000.0,5042000.0
Current Accrued Expenses,13808000.0,12340000.0,3424000.0
Interest Payable,0.0,489000.0,0.0
Payables,10379000.0,5809000.0,1618000.0
Accounts Payable,10379000.0,5809000.0,1618000.0
Total Assets,71712000.0,51370000.0,39351000.0
Total Non Current Assets,6896000.0,7987000.0,2025000.0
Other Non Current Assets,505000.0,2706000.0,311000.0
Net PPE,6391000.0,5281000.0,1714000.0
Accumulated Depreciation,-3559000.0,-2851000.0,-1987000.0
Gross PPE,9950000.0,8132000.0,3701000.0
Leases,1943000.0,1822000.0,1755000.0
Construction In Progress,1195000.0,583000.0,13000.0
Other Properties,3010000.0,2899000.0,
Machinery Furniture Equipment,3802000.0,2828000.0,1933000.0
Properties,0.0,0.0,0.0
Current Assets,64816000.0,43383000.0,37326000.0
Other Current Assets,2414000.0,2487000.0,1936000.0
Inventory,6171000.0,3865000.0,2715000.0
Finished Goods,3427000.0,2096000.0,1609000.0
Work In Process,967000.0,213000.0,216000.0
Raw Materials,1777000.0,1556000.0,890000.0
Receivables,18194000.0,29346000.0,6832000.0
Accounts Receivable,18194000.0,29346000.0,6832000.0
Allowance For Doubtful Accounts Receivable,-12671000.0,-741000.0,-354000.0
Gross Accounts Receivable,30865000.0,30087000.0,7186000.0
Cash Cash Equivalents And Short Term Investments,38037000.0,7685000.0,25843000.0
Cash And Cash Equivalents,38037000.0,7685000.0,25843000.0
