,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.0,0.0
Normalized EBITDA,-391942.0,-27403.0
Net Income From Continuing Operation Net Minority Interest,-501295.0,-27403.0
EBITDA,-391942.0,-27403.0
EBIT,-391942.0,-27403.0
Net Interest Income,-109346.0,0.0
Interest Expense,109353.0,0.0
Interest Income,7.0,0.0
Normalized Income,-501295.0,-27403.0
Net Income From Continuing And Discontinued Operation,-501295.0,-27403.0
Total Expenses,391949.0,27403.0
Total Operating Income As Reported,-391949.0,-27403.0
Diluted Average Shares,13212308.0,13212308.0
Basic Average Shares,13212308.0,13212308.0
Diluted EPS,-0.037942,-0.002074
Basic EPS,-0.037942,-0.002074
Diluted NI Availto Com Stockholders,-501295.0,-27403.0
Net Income Common Stockholders,-501295.0,-27403.0
Net Income,-501295.0,-27403.0
Net Income Including Noncontrolling Interests,-501295.0,-27403.0
Net Income Continuous Operations,-501295.0,-27403.0
Pretax Income,-501295.0,-27403.0
Net Non Operating Interest Income Expense,-109346.0,0.0
Interest Expense Non Operating,109353.0,0.0
Interest Income Non Operating,7.0,0.0
Operating Income,-391949.0,-27403.0
Operating Expense,391949.0,27403.0
Selling General And Administration,391949.0,27403.0
General And Administrative Expense,391949.0,27403.0
Other Gand A,391949.0,27403.0
Total Revenue,0.0,0.0
Operating Revenue,0.0,0.0
