,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,9349944.0,9349944.0,9349944.0
Ordinary Shares Number,127533098.0,125905864.0,124217590.0
Share Issued,136883042.0,135255808.0,133567534.0
Net Debt,1821000000.0,2069000000.0,2125000000.0
Total Debt,3780000000.0,4086000000.0,5053000000.0
Tangible Book Value,1778000000.0,1757000000.0,938000000.0
Invested Capital,5975000000.0,6340000000.0,6483000000.0
Working Capital,-1453000000.0,-71000000.0,-287000000.0
Net Tangible Assets,1778000000.0,1757000000.0,938000000.0
Capital Lease Obligations,1621000000.0,1547000000.0,1558000000.0
Common Stock Equity,3816000000.0,3801000000.0,2988000000.0
Total Capitalization,5699000000.0,5974000000.0,5345000000.0
Total Equity Gross Minority Interest,3816000000.0,3801000000.0,2988000000.0
Stockholders Equity,3816000000.0,3801000000.0,2988000000.0
Gains Losses Not Affecting Retained Earnings,-388000000.0,-262000000.0,-494000000.0
Treasury Stock,674000000.0,674000000.0,674000000.0
Retained Earnings,4300000000.0,4242000000.0,3764000000.0
Additional Paid In Capital,577000000.0,494000000.0,391000000.0
Capital Stock,1000000.0,1000000.0,1000000.0
Common Stock,1000000.0,1000000.0,1000000.0
Preferred Stock,0.0,0.0,0.0
Total Liabilities Net Minority Interest,10370000000.0,10150000000.0,11058000000.0
Total Non Current Liabilities Net Minority Interest,5877000000.0,6159000000.0,6765000000.0
Other Non Current Liabilities,305000000.0,378000000.0,524000000.0
Employee Benefits,348000000.0,305000000.0,665000000.0
Non Current Pension And Other Postretirement Benefit Plans,348000000.0,305000000.0,665000000.0
Non Current Deferred Liabilities,1948000000.0,2024000000.0,1951000000.0
Non Current Deferred Revenue,1374000000.0,1446000000.0,1544000000.0
Non Current Deferred Taxes Liabilities,574000000.0,578000000.0,407000000.0
Long Term Debt And Capital Lease Obligation,3276000000.0,3452000000.0,3625000000.0
Long Term Capital Lease Obligation,1393000000.0,1279000000.0,1268000000.0
Long Term Debt,1883000000.0,2173000000.0,2357000000.0
Current Liabilities,4493000000.0,3991000000.0,4293000000.0
Current Deferred Liabilities,2303000000.0,2075000000.0,1806000000.0
Current Deferred Revenue,2303000000.0,2075000000.0,1806000000.0
Current Debt And Capital Lease Obligation,504000000.0,634000000.0,1428000000.0
Current Capital Lease Obligation,228000000.0,268000000.0,290000000.0
Current Debt,276000000.0,366000000.0,1138000000.0
Other Current Borrowings,276000000.0,366000000.0,1138000000.0
Payables And Accrued Expenses,1686000000.0,1282000000.0,1059000000.0
Current Accrued Expenses,1465000000.0,1082000000.0,951000000.0
Payables,221000000.0,200000000.0,108000000.0
Accounts Payable,221000000.0,200000000.0,108000000.0
Total Assets,14186000000.0,13951000000.0,14046000000.0
Total Non Current Assets,11146000000.0,10031000000.0,10040000000.0
Other Non Current Assets,380000000.0,396000000.0,379000000.0
Goodwill And Other Intangible Assets,2038000000.0,2044000000.0,2050000000.0
Other Intangible Assets,,,107000000.0
Goodwill,,,1943000000.0
Net PPE,8728000000.0,7591000000.0,7611000000.0
Accumulated Depreciation,-4127000000.0,-3862000000.0,-3531000000.0
Gross PPE,12855000000.0,11453000000.0,11142000000.0
Leases,66000000.0,55000000.0,55000000.0
Construction In Progress,670000000.0,384000000.0,583000000.0
Other Properties,1661000000.0,1489000000.0,1398000000.0
Current Assets,3040000000.0,3920000000.0,4006000000.0
Other Current Assets,60000000.0,76000000.0,
Prepaid Assets,163000000.0,120000000.0,123000000.0
Inventory,104000000.0,62000000.0,57000000.0
Receivables,296000000.0,546000000.0,480000000.0
Accounts Receivable,296000000.0,546000000.0,480000000.0
Cash Cash Equivalents And Short Term Investments,2417000000.0,3116000000.0,3346000000.0
Other Short Term Investments,2079000000.0,2646000000.0,1976000000.0
Cash And Cash Equivalents,338000000.0,470000000.0,1370000000.0
