,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-830039.0,-3850.0,0.0
Repurchase Of Capital Stock,-31907588.0,0.0,
Repayment Of Debt,-150000.0,0.0,
Issuance Of Debt,,0.0,44731.0
Issuance Of Capital Stock,72380000.0,0.0,
End Cash Position,96486.0,0.0,0.0
Beginning Cash Position,0.0,0.0,0.0
Changes In Cash,96486.0,,
Financing Cash Flow,39458937.0,3850.0,0.0
Cash Flow From Continuing Financing Activities,39458937.0,3850.0,0.0
Net Other Financing Charges,-863575.0,3850.0,-44731.0
Proceeds From Stock Option Exercised,100.0,0.0,
Net Common Stock Issuance,40472412.0,0.0,
Common Stock Payments,-31907588.0,0.0,
Common Stock Issuance,72380000.0,0.0,
Net Issuance Payments Of Debt,-150000.0,0.0,44731.0
Net Short Term Debt Issuance,-150000.0,0.0,44731.0
Short Term Debt Payments,-150000.0,0.0,
Short Term Debt Issuance,,0.0,44731.0
Investing Cash Flow,-38532412.0,0.0,
Cash Flow From Continuing Investing Activities,-38532412.0,0.0,
Net Other Investing Changes,-38532412.0,,
Operating Cash Flow,-830039.0,-3850.0,0.0
Cash Flow From Continuing Operating Activities,-830039.0,-3850.0,0.0
Change In Working Capital,773798.0,-1695.0,0.0
Change In Payables And Accrued Expense,835136.0,305.0,0.0
Change In Accrued Expense,,305.0,0.0
Change In Payable,835136.0,305.0,
Change In Account Payable,204769.0,305.0,
Change In Tax Payable,630367.0,0.0,
Change In Income Tax Payable,630367.0,0.0,
Change In Prepaid Assets,-61366.0,-2000.0,0.0
Change In Receivables,28.0,0.0,
Other Non Cash Items,-2908568.0,,
Net Income From Continuing Operations,1304731.0,-2155.0,0.0
