,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-283100.0,0.0,-9158966.0
Tax Rate For Calcs,0.149,0.148,0.173
Normalized EBITDA,351896000.0,531703000.0,579867000.0
Total Unusual Items,-1900000.0,0.0,-52942000.0
Total Unusual Items Excluding Goodwill,-1900000.0,0.0,-52942000.0
Net Income From Continuing Operation Net Minority Interest,50292000.0,188909000.0,154258000.0
Reconciled Depreciation,140842000.0,138173000.0,137204000.0
EBITDA,349996000.0,531703000.0,526925000.0
EBIT,209154000.0,393530000.0,389721000.0
Net Interest Income,-65425000.0,-82052000.0,-93834000.0
Interest Expense,65425000.0,82052000.0,93834000.0
Normalized Income,51908900.0,188909000.0,198041034.0
Net Income From Continuing And Discontinued Operation,50292000.0,188909000.0,154258000.0
Total Expenses,5200042000.0,4912659000.0,4433834000.0
Rent Expense Supplemental,243324000.0,223704000.0,220213000.0
Diluted Average Shares,140963328.0,140963328.0,140963328.0
Basic Average Shares,140963328.0,140963328.0,140963328.0
Diluted EPS,0.356774,1.340129,1.094313
Basic EPS,0.356774,1.340129,1.094313
Diluted NI Availto Com Stockholders,50292000.0,188909000.0,154258000.0
Net Income Common Stockholders,50292000.0,188909000.0,154258000.0
Net Income,50292000.0,188909000.0,154258000.0
Minority Interests,-72653000.0,-76462000.0,-90318000.0
Net Income Including Noncontrolling Interests,122945000.0,265371000.0,244576000.0
Net Income Continuous Operations,122945000.0,265371000.0,244576000.0
Tax Provision,20784000.0,46107000.0,51311000.0
Pretax Income,143729000.0,311478000.0,295887000.0
Other Income Expense,-287000.0,176502000.0,-46841000.0
Other Non Operating Income Expenses,1613000.0,176502000.0,6101000.0
Special Income Charges,-1900000.0,0.0,-52942000.0
Other Special Charges,1900000.0,,52942000.0
Net Non Operating Interest Income Expense,-65425000.0,-82052000.0,-93834000.0
Interest Expense Non Operating,65425000.0,82052000.0,93834000.0
Operating Income,209441000.0,217028000.0,436562000.0
Operating Expense,5200042000.0,4912659000.0,4433834000.0
Other Operating Expenses,1436679000.0,1402806000.0,1164300000.0
Depreciation Amortization Depletion Income Statement,140842000.0,138173000.0,137204000.0
Depreciation And Amortization In Income Statement,140842000.0,138173000.0,137204000.0
Selling General And Administration,3622521000.0,3371680000.0,3132330000.0
General And Administrative Expense,3622521000.0,3371680000.0,3132330000.0
Other Gand A,980270000.0,736299000.0,617753000.0
Rent And Landing Fees,243324000.0,223704000.0,220213000.0
Salaries And Wages,2398927000.0,2411677000.0,2294364000.0
Total Revenue,5409483000.0,5129687000.0,4870396000.0
Operating Revenue,5316422000.0,5030154000.0,4770543000.0
