,2023-12-31,2022-12-31
Free Cash Flow,-1205584.0,-321616.0
Repurchase Of Capital Stock,-42717716.0,0.0
Repayment Of Debt,0.0,-328854.0
Issuance Of Debt,1010000.0,351150.0
Issuance Of Capital Stock,0.0,85420000.0
End Cash Position,4989.0,710573.0
Beginning Cash Position,710573.0,0.0
Changes In Cash,-705584.0,710573.0
Financing Cash Flow,-41707716.0,83142189.0
Cash Flow From Continuing Financing Activities,-41707716.0,83142189.0
Net Other Financing Charges,,-2300107.0
Net Common Stock Issuance,-42717716.0,85420000.0
Common Stock Payments,-42717716.0,0.0
Common Stock Issuance,0.0,85420000.0
Net Issuance Payments Of Debt,1010000.0,22296.0
Net Short Term Debt Issuance,1010000.0,22296.0
Short Term Debt Payments,0.0,-328854.0
Short Term Debt Issuance,1010000.0,351150.0
Investing Cash Flow,42207716.0,-82110000.0
Cash Flow From Continuing Investing Activities,42207716.0,-82110000.0
Net Other Investing Changes,42207716.0,-82110000.0
Operating Cash Flow,-1205584.0,-321616.0
Cash Flow From Continuing Operating Activities,-1205584.0,-321616.0
Change In Working Capital,146019.0,656083.0
Change In Payables And Accrued Expense,-10826.0,825998.0
Change In Accrued Expense,-10826.0,812249.0
Change In Payable,,13749.0
Change In Prepaid Assets,156845.0,-169915.0
Other Non Cash Items,-3266717.0,-625662.0
Net Income From Continuing Operations,1915114.0,-352037.0
