,2022-12-31,2021-12-31
Ordinary Shares Number,27279103.0,27279103.0
Share Issued,27279103.0,27279103.0
Net Debt,125926.0,
Total Debt,1256680.0,1141722.0
Tangible Book Value,-8358411.0,-8407272.0
Invested Capital,-7933871.0,-7265550.0
Working Capital,-4038681.0,-2785498.0
Net Tangible Assets,-8358411.0,-8407272.0
Capital Lease Obligations,832140.0,0.0
Common Stock Equity,-8358411.0,-8407272.0
Total Capitalization,-8226803.0,-7265550.0
Total Equity Gross Minority Interest,-8358411.0,-8407272.0
Stockholders Equity,-8358411.0,-8407272.0
Gains Losses Not Affecting Retained Earnings,-10106.0,0.0
Retained Earnings,-10314313.0,-9826820.0
Additional Paid In Capital,1964669.0,1374882.0
Capital Stock,1339.0,44666.0
Common Stock,1339.0,44666.0
Preferred Stock,0.0,0.0
Total Liabilities Net Minority Interest,12267507.0,12627616.0
Total Non Current Liabilities Net Minority Interest,6240808.0,7607978.0
Tradeand Other Payables Non Current,1100000.0,1100000.0
Non Current Deferred Liabilities,4805431.0,5366256.0
Non Current Deferred Revenue,4805431.0,5295251.0
Long Term Debt And Capital Lease Obligation,335377.0,1141722.0
Long Term Capital Lease Obligation,203769.0,0.0
Long Term Debt,131608.0,1141722.0
Current Liabilities,6026699.0,5019638.0
Current Deferred Liabilities,4768016.0,4593474.0
Current Deferred Revenue,4168016.0,4593474.0
Current Debt And Capital Lease Obligation,921303.0,
Current Capital Lease Obligation,628371.0,0.0
Current Debt,292932.0,
Other Current Borrowings,292932.0,
Payables And Accrued Expenses,337380.0,426164.0
Current Accrued Expenses,120662.0,252470.0
Payables,216718.0,173694.0
Total Tax Payable,10000.0,0.0
Income Tax Payable,10000.0,0.0
Accounts Payable,216718.0,173694.0
Total Assets,3909096.0,4220344.0
Total Non Current Assets,1921078.0,1986204.0
Non Current Prepaid Assets,1100000.0,1100000.0
Non Current Note Receivables,0.0,854585.0
Net PPE,821078.0,31619.0
Accumulated Depreciation,-182762.0,-167883.0
Gross PPE,1003840.0,199502.0
Other Properties,804338.0,
Machinery Furniture Equipment,199502.0,199502.0
Current Assets,1988018.0,2234140.0
Other Current Assets,16039.0,30102.0
Receivables,1673365.0,859116.0
Taxes Receivable,967613.0,27763.0
Accounts Receivable,705752.0,831353.0
Allowance For Doubtful Accounts Receivable,0.0,0.0
Gross Accounts Receivable,705752.0,831353.0
Cash Cash Equivalents And Short Term Investments,298614.0,1344922.0
Cash And Cash Equivalents,298614.0,1344922.0
