,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,262036.89
Tax Rate For Calcs,0.2435,0.0,0.27
Normalized EBITDA,-976955.0,-1157289.0,-1503111.0
Total Unusual Items,0.0,-56454.0,970507.0
Total Unusual Items Excluding Goodwill,0.0,-56454.0,970507.0
Net Income From Continuing Operation Net Minority Interest,-1602013.0,-1459050.0,882913.0
Reconciled Depreciation,487073.0,226307.0,64846.0
Reconciled Cost Of Revenue,10544247.0,10494864.0,8963801.0
EBITDA,-976955.0,-1213743.0,-532604.0
EBIT,-1464028.0,-1440050.0,-597450.0
Net Interest Income,-653429.0,-19000.0,207.0
Interest Expense,653429.0,19000.0,
Normalized Income,-1602013.0,-1402596.0,174442.89
Net Income From Continuing And Discontinued Operation,-1602013.0,-1459050.0,882913.0
Total Expenses,16759136.0,14305699.0,12116846.0
Total Operating Income As Reported,-1635006.0,-1961954.0,-845057.0
Diluted Average Shares,24875667.0,24000000.0,24000000.0
Basic Average Shares,24875667.0,24000000.0,24000000.0
Diluted EPS,-0.09,-0.06,0.036788
Basic EPS,-0.09,-0.06,0.036788
Diluted NI Availto Com Stockholders,-1602013.0,-1459050.0,882913.0
Net Income Common Stockholders,-1602013.0,-1459050.0,882913.0
Net Income,-1602013.0,-1459050.0,882913.0
Net Income Including Noncontrolling Interests,-1602013.0,-1459050.0,882913.0
Net Income Continuous Operations,-1602013.0,-1459050.0,882913.0
Tax Provision,-515444.0,0.0,
Pretax Income,-2117457.0,-1459050.0,882913.0
Other Income Expense,171512.0,521904.0,1480156.0
Other Non Operating Income Expenses,171512.0,578358.0,509649.0
Special Income Charges,0.0,-56454.0,970507.0
Gain On Sale Of Ppe,0.0,-56454.0,0.0
Other Special Charges,,,-970507.0
Net Non Operating Interest Income Expense,-653429.0,-19000.0,207.0
Total Other Finance Cost,,10333.0,-207.0
Interest Expense Non Operating,653429.0,19000.0,
Operating Income,-1635540.0,-1961954.0,-597450.0
Operating Expense,5884778.0,3656831.0,3153045.0
Other Taxes,,0.0,-247607.0
Depreciation Amortization Depletion Income Statement,156962.0,72303.0,64846.0
Depreciation And Amortization In Income Statement,156962.0,72303.0,64846.0
Depreciation Income Statement,,72303.0,64846.0
Selling General And Administration,5727816.0,3584528.0,3335806.0
Selling And Marketing Expense,487586.0,299388.0,242192.0
General And Administrative Expense,5240230.0,3285140.0,3093614.0
Other Gand A,5240230.0,3285140.0,3093614.0
Gross Profit,4249238.0,1694877.0,2555595.0
Cost Of Revenue,10874358.0,10648868.0,8963801.0
Total Revenue,15123596.0,12343745.0,11519396.0
Operating Revenue,15123596.0,12343745.0,11519396.0
