,2023-11-30
Ordinary Shares Number,1725000.0
Share Issued,1725000.0
Net Debt,124900.0
Total Debt,250000.0
Tangible Book Value,6147.0
Invested Capital,256147.0
Working Capital,-100853.0
Net Tangible Assets,6147.0
Common Stock Equity,6147.0
Total Capitalization,6147.0
Total Equity Gross Minority Interest,6147.0
Stockholders Equity,6147.0
Retained Earnings,-18853.0
Additional Paid In Capital,24828.0
Capital Stock,172.0
Common Stock,172.0
Total Liabilities Net Minority Interest,256853.0
Total Non Current Liabilities Net Minority Interest,0.0
Current Liabilities,256853.0
Current Debt And Capital Lease Obligation,250000.0
Current Debt,250000.0
Other Current Borrowings,250000.0
Current Notes Payable,250000.0
Payables And Accrued Expenses,6853.0
Current Accrued Expenses,6853.0
Total Assets,263000.0
Total Non Current Assets,107000.0
Non Current Deferred Assets,107000.0
Current Assets,156000.0
Receivables,30900.0
Duefrom Related Parties Current,30900.0
Cash Cash Equivalents And Short Term Investments,125100.0
Cash And Cash Equivalents,125100.0
Cash Financial,125100.0
