,2024-03-31,2023-03-31
Ordinary Shares Number,942304.0,1055891.0
Share Issued,942304.0,1055891.0
Total Debt,1002000.0,
Tangible Book Value,7628000.0,644000.0
Invested Capital,8630000.0,644000.0
Working Capital,8614000.0,644000.0
Net Tangible Assets,7628000.0,644000.0
Common Stock Equity,7628000.0,644000.0
Total Capitalization,8630000.0,644000.0
Total Equity Gross Minority Interest,7628000.0,644000.0
Stockholders Equity,7628000.0,644000.0
Retained Earnings,-38969000.0,-23543000.0
Additional Paid In Capital,46578000.0,24175000.0
Capital Stock,19000.0,12000.0
Common Stock,19000.0,12000.0
Preferred Stock,0.0,0.0
Total Liabilities Net Minority Interest,1779000.0,221000.0
Total Non Current Liabilities Net Minority Interest,1002000.0,0.0
Long Term Debt And Capital Lease Obligation,1002000.0,
Long Term Debt,1002000.0,
Current Liabilities,777000.0,221000.0
Payables And Accrued Expenses,777000.0,221000.0
Current Accrued Expenses,285000.0,48000.0
Payables,492000.0,173000.0
Accounts Payable,492000.0,173000.0
Total Assets,9407000.0,865000.0
Total Non Current Assets,16000.0,0.0
Net PPE,16000.0,0.0
Current Assets,9391000.0,865000.0
Other Current Assets,783000.0,
Cash Cash Equivalents And Short Term Investments,8608000.0,865000.0
Cash And Cash Equivalents,8608000.0,865000.0
Cash Financial,8608000.0,865000.0
