,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-37026424.0,-31082691.0,-15020397.0
Repayment Of Debt,-808049.0,-975454.0,-2082836.0
Issuance Of Debt,,0.0,3819450.0
Issuance Of Capital Stock,52823026.0,25298089.0,26909263.0
Capital Expenditure,-2394908.0,-1665989.0,-582235.0
Interest Paid Supplemental Data,38473.0,33401.0,50275.0
End Cash Position,21088875.0,9353190.0,15455182.0
Beginning Cash Position,9353190.0,15455182.0,3353725.0
Effect Of Exchange Rate Changes,-390900.0,1035891.0,6875.0
Changes In Cash,12126585.0,-7137883.0,12094582.0
Financing Cash Flow,49339774.0,23271389.0,27418812.0
Cash Flow From Continuing Financing Activities,49339774.0,23271389.0,27418812.0
Net Other Financing Charges,-2675203.0,-1051246.0,-1227065.0
Net Common Stock Issuance,52823026.0,25298089.0,26909263.0
Common Stock Issuance,52823026.0,25298089.0,26909263.0
Net Issuance Payments Of Debt,-808049.0,-975454.0,1736614.0
Net Short Term Debt Issuance,,-936090.0,1783768.0
Short Term Debt Payments,,-936090.0,-2035682.0
Short Term Debt Issuance,,0.0,3819450.0
Net Long Term Debt Issuance,-808049.0,-975454.0,-47154.0
Long Term Debt Payments,-808049.0,-975454.0,-47154.0
Investing Cash Flow,-2581673.0,-992570.0,-886068.0
Cash Flow From Continuing Investing Activities,-2581673.0,-992570.0,-886068.0
Net Investment Purchase And Sale,,0.0,-311800.0
Purchase Of Investment,,0.0,-311800.0
Net Business Purchase And Sale,-213000.0,0.0,
Purchase Of Business,-213000.0,0.0,
Net Intangibles Purchase And Sale,-6644.0,578777.0,-9367.0
Sale Of Intangibles,0.0,670000.0,0.0
Purchase Of Intangibles,-6644.0,-91223.0,-9367.0
Net PPE Purchase And Sale,-2362029.0,-1571347.0,-564901.0
Sale Of PPE,26235.0,3419.0,7967.0
Purchase Of PPE,-2388264.0,-1574766.0,-572868.0
Operating Cash Flow,-34631516.0,-29416702.0,-14438162.0
Cash Flow From Continuing Operating Activities,-34631516.0,-29416702.0,-14438162.0
Change In Working Capital,3986243.0,-1746853.0,976405.0
Change In Payables And Accrued Expense,4417979.0,-1407253.0,906671.0
Change In Inventory,-86725.0,194196.0,-15713.0
Change In Receivables,-345011.0,-533796.0,85447.0
Changes In Account Receivables,-345011.0,-533796.0,85447.0
Other Non Cash Items,101856.0,542974.0,940157.0
Stock Based Compensation,5759775.0,2937017.0,254850.0
Depreciation Amortization Depletion,1157723.0,774077.0,640087.0
Depreciation And Amortization,1157723.0,774077.0,640087.0
Amortization Cash Flow,204019.0,200153.0,201882.0
Amortization Of Intangibles,204019.0,200153.0,201882.0
Depreciation,953704.0,573924.0,438205.0
Operating Gains Losses,1126284.0,-1360117.0,-78604.0
Gain Loss On Investment Securities,-9512.0,257092.0,340124.0
Net Foreign Currency Exchange Gain Loss,634549.0,-1617209.0,-448350.0
Gain Loss On Sale Of PPE,501247.0,0.0,29622.0
Net Income From Continuing Operations,-46763397.0,-30563800.0,-17171057.0
