,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.0,0.0
Normalized EBITDA,-5364000.0,-11420000.0
Total Unusual Items,-1674000.0,
Total Unusual Items Excluding Goodwill,-1674000.0,
Net Income From Continuing Operation Net Minority Interest,-9007000.0,-11626000.0
Reconciled Depreciation,209000.0,196000.0
Reconciled Cost Of Revenue,725000.0,774000.0
EBITDA,-7038000.0,-11420000.0
EBIT,-7247000.0,-11616000.0
Net Interest Income,55000.0,-10000.0
Interest Expense,,10000.0
Interest Income,55000.0,
Normalized Income,-7333000.0,-11626000.0
Net Income From Continuing And Discontinued Operation,-9007000.0,-11626000.0
Total Expenses,7854000.0,12114000.0
Total Operating Income As Reported,-8713000.0,-11430000.0
Diluted Average Shares,14591554.0,14591554.0
Basic Average Shares,14591554.0,14591554.0
Diluted EPS,-0.617275,-0.796762
Basic EPS,-0.617275,-0.796762
Diluted NI Availto Com Stockholders,-9007000.0,-11626000.0
Net Income Common Stockholders,-9007000.0,-11626000.0
Net Income,-9007000.0,-11626000.0
Net Income Including Noncontrolling Interests,-9006000.0,-11626000.0
Net Income Continuous Operations,-9006000.0,-11626000.0
Pretax Income,-9006000.0,-11626000.0
Other Income Expense,-1814000.0,10000.0
Other Non Operating Income Expenses,-140000.0,10000.0
Special Income Charges,-1674000.0,
Impairment Of Capital Assets,1674000.0,
Net Non Operating Interest Income Expense,55000.0,-10000.0
Interest Expense Non Operating,,10000.0
Interest Income Non Operating,55000.0,
Operating Income,-7247000.0,-11626000.0
Operating Expense,7129000.0,11340000.0
Depreciation Amortization Depletion Income Statement,209000.0,196000.0
Depreciation And Amortization In Income Statement,209000.0,196000.0
Depreciation Income Statement,209000.0,196000.0
Research And Development,2014000.0,3663000.0
Selling General And Administration,4906000.0,7481000.0
Selling And Marketing Expense,2541000.0,3580000.0
General And Administrative Expense,2365000.0,3901000.0
Other Gand A,2365000.0,3901000.0
Gross Profit,-118000.0,-286000.0
Cost Of Revenue,725000.0,774000.0
Total Revenue,607000.0,489000.0
Operating Revenue,607000.0,489000.0
