,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,2088240.0,-172410.0,0.0
Tax Rate For Calcs,0.21,0.21,0.0
Normalized EBITDA,-78975000.0,-31459000.0,-12349000.0
Total Unusual Items,9944000.0,-821000.0,4338000.0
Total Unusual Items Excluding Goodwill,9944000.0,-821000.0,4338000.0
Net Income From Continuing Operation Net Minority Interest,-80607000.0,-37744000.0,-12386000.0
Reconciled Depreciation,746000.0,895000.0,707000.0
Reconciled Cost Of Revenue,11970000.0,13485000.0,9052000.0
EBITDA,-69031000.0,-32280000.0,-8011000.0
EBIT,-69777000.0,-33175000.0,-8718000.0
Net Interest Income,-10566000.0,-4426000.0,-3668000.0
Interest Expense,10566000.0,4426000.0,3668000.0
Normalized Income,-88462760.0,-37095410.0,-16724000.0
Net Income From Continuing And Discontinued Operation,-80607000.0,-37744000.0,-12386000.0
Total Expenses,132545000.0,96221000.0,50743000.0
Total Operating Income As Reported,-79078000.0,-32010000.0,-12501000.0
Diluted Average Shares,35581656.0,46502000.0,46502000.0
Basic Average Shares,35581656.0,46502000.0,46502000.0
Diluted EPS,-2.31,-0.874177,-0.29302
Basic EPS,-2.31,-0.874177,-0.29302
Diluted NI Availto Com Stockholders,-82304000.0,-40651000.0,-13626000.0
Net Income Common Stockholders,-82304000.0,-40651000.0,-13626000.0
Preferred Stock Dividends,1697000.0,2907000.0,1240000.0
Net Income,-80607000.0,-37744000.0,-12386000.0
Net Income Including Noncontrolling Interests,-80607000.0,-37744000.0,-12386000.0
Net Income Continuous Operations,-80607000.0,-37744000.0,-12386000.0
Tax Provision,264000.0,143000.0,0.0
Pretax Income,-80343000.0,-37601000.0,-12386000.0
Other Income Expense,9301000.0,-1165000.0,3783000.0
Other Non Operating Income Expenses,-643000.0,-344000.0,-555000.0
Special Income Charges,3772000.0,0.0,4375000.0
Other Special Charges,25278000.0,,-4375000.0
Restructuring And Mergern Acquisition,-29050000.0,0.0,
Gain On Sale Of Security,6172000.0,-821000.0,-37000.0
Net Non Operating Interest Income Expense,-10566000.0,-4426000.0,-3668000.0
Interest Expense Non Operating,10566000.0,4426000.0,3668000.0
Operating Income,-79078000.0,-32010000.0,-12501000.0
Operating Expense,120575000.0,82736000.0,41691000.0
Research And Development,27694000.0,16966000.0,5729000.0
Selling General And Administration,92881000.0,65770000.0,35962000.0
Selling And Marketing Expense,46857000.0,50405000.0,27144000.0
General And Administrative Expense,46024000.0,15365000.0,8818000.0
Other Gand A,46024000.0,15365000.0,8818000.0
Gross Profit,41497000.0,50726000.0,29190000.0
Cost Of Revenue,11970000.0,13485000.0,9052000.0
Total Revenue,53467000.0,64211000.0,38242000.0
Operating Revenue,53467000.0,64211000.0,38242000.0
