,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,2183000.0,17558000.0,14230000.0
Repurchase Of Capital Stock,-1343000.0,0.0,-635000.0
Repayment Of Debt,-443052000.0,-206597000.0,-14497000.0
Issuance Of Debt,444330000.0,215528000.0,0.0
Issuance Of Capital Stock,0.0,10010000.0,0.0
Capital Expenditure,-3394000.0,-1497000.0,-3748000.0
Interest Paid Supplemental Data,2230000.0,1315000.0,
Income Tax Paid Supplemental Data,7859000.0,1654000.0,
End Cash Position,1441000.0,2021000.0,236000.0
Beginning Cash Position,2017000.0,236000.0,626000.0
Changes In Cash,-576000.0,1785000.0,-390000.0
Financing Cash Flow,-1182000.0,15391000.0,-19362000.0
Cash Flow From Continuing Financing Activities,-374000.0,15391000.0,-19362000.0
Net Other Financing Charges,-484000.0,-3659000.0,-4230000.0
Proceeds From Stock Option Exercised,175000.0,109000.0,0.0
Net Common Stock Issuance,-1343000.0,10010000.0,-635000.0
Common Stock Payments,-1343000.0,0.0,-635000.0
Common Stock Issuance,0.0,10010000.0,0.0
Net Issuance Payments Of Debt,1278000.0,8931000.0,-14497000.0
Net Short Term Debt Issuance,387000.0,0.0,-10184000.0
Short Term Debt Payments,-580000.0,0.0,-10184000.0
Short Term Debt Issuance,967000.0,0.0,
Net Long Term Debt Issuance,891000.0,8931000.0,-4313000.0
Long Term Debt Payments,-442472000.0,-206597000.0,-4313000.0
Long Term Debt Issuance,443363000.0,215528000.0,0.0
Investing Cash Flow,-4975000.0,-32661000.0,994000.0
Cash Flow From Continuing Investing Activities,-3295000.0,-32661000.0,994000.0
Net Investment Purchase And Sale,,0.0,4430000.0
Sale Of Investment,,0.0,4430000.0
Purchase Of Investment,,,0.0
Net Business Purchase And Sale,0.0,-32564000.0,0.0
Purchase Of Business,0.0,-32564000.0,0.0
Net PPE Purchase And Sale,-3295000.0,-97000.0,-3436000.0
Sale Of PPE,99000.0,1400000.0,312000.0
Purchase Of PPE,-3394000.0,-1497000.0,-3748000.0
Operating Cash Flow,5577000.0,19055000.0,17978000.0
Cash Flow From Continuing Operating Activities,-5262000.0,19055000.0,17978000.0
Change In Working Capital,-30481000.0,-13517000.0,7553000.0
Change In Other Working Capital,-211000.0,-55000.0,-912000.0
Change In Payables And Accrued Expense,-16321000.0,21596000.0,-6209000.0
Change In Accrued Expense,-2127000.0,1506000.0,86000.0
Change In Payable,-14194000.0,20090000.0,-6295000.0
Change In Account Payable,-6271000.0,10837000.0,-1418000.0
Change In Tax Payable,-7923000.0,9253000.0,-4877000.0
Change In Income Tax Payable,-7923000.0,9253000.0,-4877000.0
Change In Inventory,-13685000.0,-18873000.0,9122000.0
Change In Receivables,-264000.0,-16185000.0,5552000.0
Changes In Account Receivables,-264000.0,-16185000.0,5552000.0
Other Non Cash Items,505000.0,2401000.0,438000.0
Stock Based Compensation,1355000.0,799000.0,1791000.0
Unrealized Gain Loss On Investment Securities,,0.0,-208000.0
Provisionand Write Offof Assets,3093000.0,1251000.0,1161000.0
Asset Impairment Charge,0.0,233000.0,22417000.0
Deferred Tax,-5568000.0,-2071000.0,1167000.0
Deferred Income Tax,-5568000.0,-2071000.0,1167000.0
Depreciation Amortization Depletion,8274000.0,10341000.0,10600000.0
Depreciation And Amortization,8274000.0,10341000.0,10600000.0
Amortization Cash Flow,1853000.0,2794000.0,3028000.0
Amortization Of Intangibles,1853000.0,2794000.0,3028000.0
Depreciation,6421000.0,7547000.0,7572000.0
Operating Gains Losses,-18000.0,-627000.0,326000.0
Gain Loss On Investment Securities,,-2000.0,89000.0
Gain Loss On Sale Of PPE,-18000.0,-848000.0,237000.0
Net Income From Continuing Operations,17578000.0,20245000.0,-27267000.0
