,2023-12-31,2022-12-31,2021-12-31
Treasury Shares Number,0.0,,
Ordinary Shares Number,23090585.0,19236305.0,19236305.0
Share Issued,23090585.0,19236305.0,19236305.0
Net Debt,,2649629.0,8591992.0
Total Debt,2136449.0,3735008.0,9686424.0
Tangible Book Value,24724822.0,-37819241.0,-29610264.0
Invested Capital,26037607.0,-35012761.0,-20972692.0
Working Capital,24398036.0,-6689745.0,-15624661.0
Net Tangible Assets,24724823.0,-37819241.0,-29610264.0
Capital Lease Obligations,847851.0,957230.0,1082070.0
Common Stock Equity,24749009.0,-37790539.0,-29577046.0
Preferred Stock Equity,1.0,,
Total Capitalization,24749010.0,-37790539.0,-29576124.0
Total Equity Gross Minority Interest,24749010.0,-37790539.0,-29577046.0
Stockholders Equity,24749010.0,-37790539.0,-29577046.0
Retained Earnings,-58503401.0,-42382291.0,-32774456.0
Additional Paid In Capital,83250101.0,4590855.0,3160491.0
Capital Stock,2310.0,897.0,36919.0
Common Stock,2309.0,897.0,36919.0
Preferred Stock,1.0,0.0,
Total Liabilities Net Minority Interest,39199793.0,39539086.0,31134149.0
Total Non Current Liabilities Net Minority Interest,697715.0,32243801.0,15330784.0
Preferred Securities Outside Stock Equity,0.0,31416073.0,14334654.0
Derivative Product Liabilities,,0.0,33300.0
Long Term Debt And Capital Lease Obligation,697715.0,827728.0,962830.0
Long Term Capital Lease Obligation,697715.0,827728.0,961908.0
Long Term Debt,,,922.0
Current Liabilities,38502078.0,7295285.0,15803365.0
Other Current Liabilities,29874831.0,826980.0,3838008.0
Current Debt And Capital Lease Obligation,1438734.0,2907280.0,8723594.0
Current Capital Lease Obligation,150136.0,129502.0,120162.0
Current Debt,1288598.0,2777778.0,8603432.0
Other Current Borrowings,1288598.0,2777778.0,8603432.0
Pensionand Other Post Retirement Benefit Plans Current,1291609.0,916934.0,489794.0
Payables And Accrued Expenses,5896904.0,2644091.0,2751969.0
Current Accrued Expenses,1479670.0,505359.0,1880656.0
Interest Payable,1175845.0,477720.0,1880656.0
Payables,4417234.0,2138732.0,871313.0
Accounts Payable,4417234.0,2138732.0,871313.0
Total Assets,63948803.0,1748547.0,1557103.0
Total Non Current Assets,1048689.0,1143007.0,1378399.0
Goodwill And Other Intangible Assets,24187.0,28702.0,33218.0
Other Intangible Assets,24187.0,28702.0,33218.0
Net PPE,1024502.0,1114305.0,1345181.0
Accumulated Depreciation,-622715.0,-530116.0,-440334.0
Gross PPE,1647217.0,1644421.0,1785515.0
Leases,115333.0,115333.0,115333.0
Other Properties,1528304.0,1525509.0,1670182.0
Machinery Furniture Equipment,3580.0,3579.0,0.0
Properties,0.0,0.0,0.0
Current Assets,62900114.0,605540.0,178704.0
Other Current Assets,,28175.0,
Hedging Assets Current,5700451.0,0.0,
Assets Held For Sale Current,53321372.0,0.0,
Current Deferred Assets,0.0,394147.0,166342.0
Prepaid Assets,761271.0,55069.0,0.0
Receivables,204559.0,0.0,
Taxes Receivable,204559.0,0.0,
Cash Cash Equivalents And Short Term Investments,2912461.0,128149.0,12362.0
Cash And Cash Equivalents,2912461.0,128149.0,12362.0
Cash Financial,2912461.0,128149.0,12362.0
