,2023-12-31,2022-12-31
Free Cash Flow,-7450000.0,-9017000.0
Repayment Of Debt,-222000.0,-207000.0
Issuance Of Debt,1442000.0,0.0
Issuance Of Capital Stock,0.0,9991000.0
Capital Expenditure,-48000.0,-65000.0
Interest Paid Supplemental Data,16000.0,30000.0
End Cash Position,861000.0,7462000.0
Beginning Cash Position,7462000.0,6695000.0
Changes In Cash,-6601000.0,767000.0
Financing Cash Flow,849000.0,9784000.0
Cash Flow From Continuing Financing Activities,849000.0,9784000.0
Net Other Financing Charges,-371000.0,
Net Preferred Stock Issuance,0.0,9991000.0
Preferred Stock Issuance,0.0,9991000.0
Net Issuance Payments Of Debt,1220000.0,-207000.0
Net Short Term Debt Issuance,1442000.0,0.0
Short Term Debt Issuance,1442000.0,0.0
Net Long Term Debt Issuance,-222000.0,-207000.0
Long Term Debt Payments,-222000.0,-207000.0
Investing Cash Flow,-48000.0,-65000.0
Cash Flow From Continuing Investing Activities,-48000.0,-65000.0
Net Intangibles Purchase And Sale,0.0,-65000.0
Purchase Of Intangibles,0.0,-65000.0
Net PPE Purchase And Sale,-48000.0,0.0
Purchase Of PPE,-48000.0,0.0
Operating Cash Flow,-7402000.0,-8952000.0
Cash Flow From Continuing Operating Activities,-7402000.0,-8952000.0
Change In Working Capital,1207000.0,3389000.0
Change In Other Working Capital,-64000.0,64000.0
Change In Other Current Liabilities,-500000.0,-440000.0
Change In Payables And Accrued Expense,-259000.0,5790000.0
Change In Accrued Expense,484000.0,-454000.0
Change In Payable,-743000.0,6244000.0
Change In Account Payable,-743000.0,6244000.0
Change In Prepaid Assets,84000.0,-35000.0
Change In Receivables,1946000.0,-1990000.0
Changes In Account Receivables,1942000.0,-1990000.0
Stock Based Compensation,2305000.0,4018000.0
Depreciation Amortization Depletion,792000.0,856000.0
Depreciation And Amortization,792000.0,856000.0
Depreciation,792000.0,856000.0
Net Income From Continuing Operations,-11706000.0,-17215000.0
