,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,15035467.0,14751708.0,14751708.0
Share Issued,15035467.0,14751708.0,14751708.0
Net Debt,137271000.0,720493000.0,1355953000.0
Total Debt,672064000.0,1095960000.0,2367929000.0
Tangible Book Value,52084000.0,-683567000.0,147860000.0
Invested Capital,763462000.0,434269000.0,2534432000.0
Working Capital,583824000.0,429472000.0,1223191000.0
Net Tangible Assets,52084000.0,-247287000.0,584140000.0
Capital Lease Obligations,31202000.0,57508000.0,73657000.0
Common Stock Equity,122600000.0,-604183000.0,240160000.0
Preferred Stock Equity,,436280000.0,436280000.0
Total Capitalization,637244000.0,726500000.0,1302795000.0
Total Equity Gross Minority Interest,122600000.0,-167903000.0,676440000.0
Stockholders Equity,122600000.0,-167903000.0,676440000.0
Other Equity Interest,-10111000.0,-53225000.0,-38633000.0
Gains Losses Not Affecting Retained Earnings,-1714000.0,-1423000.0,-105000.0
Retained Earnings,-1704076000.0,-1167656000.0,-292613000.0
Additional Paid In Capital,1838427000.0,618111000.0,571501000.0
Capital Stock,74000.0,436290000.0,436290000.0
Common Stock,74000.0,10000.0,10000.0
Preferred Stock,0.0,436280000.0,436280000.0
Total Liabilities Net Minority Interest,782954000.0,1251255000.0,2623277000.0
Total Non Current Liabilities Net Minority Interest,574691000.0,986563000.0,760539000.0
Other Non Current Liabilities,6093000.0,2983000.0,8608000.0
Derivative Product Liabilities,3280000.0,4924000.0,34379000.0
Long Term Debt And Capital Lease Obligation,545846000.0,951911000.0,700012000.0
Long Term Capital Lease Obligation,31202000.0,57508000.0,73657000.0
Long Term Debt,514644000.0,894403000.0,626355000.0
Long Term Provisions,19472000.0,26745000.0,17540000.0
Current Liabilities,208263000.0,264692000.0,1862738000.0
Current Deferred Liabilities,12111000.0,30205000.0,50010000.0
Current Deferred Revenue,12111000.0,30205000.0,50010000.0
Current Debt And Capital Lease Obligation,126218000.0,144049000.0,1667917000.0
Current Debt,126218000.0,144049000.0,1667917000.0
Other Current Borrowings,,750000000.0,477333000.0
Line Of Credit,126218000.0,144049000.0,1667917000.0
Payables And Accrued Expenses,69934000.0,90438000.0,144811000.0
Payables,69934000.0,90438000.0,144811000.0
Other Payable,3376000.0,8001000.0,11555000.0
Accounts Payable,66558000.0,82437000.0,133256000.0
Total Assets,905554000.0,1083352000.0,3299717000.0
Total Non Current Assets,113467000.0,389188000.0,213789000.0
Other Non Current Assets,4793000.0,,14263000.0
Financial Assets,1716000.0,239651000.0,9296000.0
Goodwill And Other Intangible Assets,70516000.0,79384000.0,92300000.0
Other Intangible Assets,38126000.0,61996000.0,72489000.0
Goodwill,32390000.0,17388000.0,19811000.0
Net PPE,36442000.0,70153000.0,97930000.0
Accumulated Depreciation,-17896000.0,-19741000.0,-11076000.0
Gross PPE,54338000.0,89894000.0,109006000.0
Leases,12248000.0,21661000.0,19866000.0
Other Properties,19988000.0,43484000.0,60731000.0
Machinery Furniture Equipment,19072000.0,21719000.0,28409000.0
Land And Improvements,3030000.0,3030000.0,0.0
Properties,0.0,0.0,0.0
Current Assets,792087000.0,694164000.0,3085929000.0
Restricted Cash,24475000.0,28106000.0,40555000.0
Prepaid Assets,43038000.0,46350000.0,32157000.0
Inventory,0.0,1139000.0,1122000.0
Other Inventories,,1139000.0,1122000.0
Receivables,195386000.0,300610000.0,2073776000.0
Other Receivables,16888000.0,17526000.0,65220000.0
Taxes Receivable,8348000.0,18139000.0,20250000.0
Loans Receivable,170150000.0,264945000.0,1988306000.0
Cash Cash Equivalents And Short Term Investments,529188000.0,317959000.0,938319000.0
Other Short Term Investments,25597000.0,0.0,
Cash And Cash Equivalents,503591000.0,317959000.0,938319000.0
