,2023-12-31
Free Cash Flow,-3533577.0
Repayment Of Debt,-250000.0
Issuance Of Debt,0.0
Issuance Of Capital Stock,11903491.0
Capital Expenditure,-3254.0
End Cash Position,8402500.0
Beginning Cash Position,32586.0
Changes In Cash,8369914.0
Financing Cash Flow,11903491.0
Cash Flow From Continuing Financing Activities,11903491.0
Proceeds From Stock Option Exercised,250000.0
Net Common Stock Issuance,11903491.0
Common Stock Issuance,11903491.0
Net Issuance Payments Of Debt,-250000.0
Net Short Term Debt Issuance,-250000.0
Short Term Debt Payments,-250000.0
Net Long Term Debt Issuance,0.0
Long Term Debt Issuance,0.0
Investing Cash Flow,-3254.0
Cash Flow From Continuing Investing Activities,-3254.0
Net PPE Purchase And Sale,-3254.0
Purchase Of PPE,-3254.0
Operating Cash Flow,-3530323.0
Cash Flow From Continuing Operating Activities,-3530323.0
Change In Working Capital,144309.0
Change In Other Working Capital,672295.0
Change In Other Current Assets,2195.0
Change In Payables And Accrued Expense,-463223.0
Change In Accrued Expense,-225645.0
Change In Interest Payable,0.0
Change In Payable,-237578.0
Change In Account Payable,-237578.0
Change In Prepaid Assets,-66958.0
Other Non Cash Items,3013859.0
Stock Based Compensation,710381.0
Depreciation Amortization Depletion,1980.0
Depreciation And Amortization,1980.0
Depreciation,1980.0
Operating Gains Losses,956234.0
Gain Loss On Investment Securities,216095.0
Net Income From Continuing Operations,-8357086.0
