,2024-01-31,2023-01-31,2022-01-31
Ordinary Shares Number,25824942.0,25824942.0,25824942.0
Share Issued,25824942.0,25824942.0,25824942.0
Net Debt,78321299.0,74754435.0,46024804.0
Total Debt,117506626.0,115608262.0,84653381.0
Tangible Book Value,-49577895.0,-307362.0,29085109.0
Invested Capital,33015347.0,79713210.0,80266305.0
Working Capital,-85414272.0,-38660032.0,6034802.0
Net Tangible Assets,-49577895.0,-307362.0,29085109.0
Capital Lease Obligations,38233047.0,38526030.0,36571555.0
Common Stock Equity,-46258232.0,2630978.0,32184479.0
Total Capitalization,-46072128.0,3208495.0,33219479.0
Total Equity Gross Minority Interest,-46258232.0,2630978.0,32184479.0
Stockholders Equity,-46258232.0,2630978.0,32184479.0
Other Equity Interest,11676046.0,11676046.0,11185226.0
Gains Losses Not Affecting Retained Earnings,167725.0,47937.0,
Other Equity Adjustments,167725.0,47937.0,
Retained Earnings,-103880258.0,-50567976.0,-5083446.0
Additional Paid In Capital,45777474.0,41474196.0,26081977.0
Capital Stock,781.0,775.0,722.0
Common Stock,781.0,775.0,722.0
Total Liabilities Net Minority Interest,190146187.0,178258398.0,139133992.0
Total Non Current Liabilities Net Minority Interest,36295677.0,37102937.0,38743024.0
Tradeand Other Payables Non Current,,0.0,2753761.0
Non Current Deferred Liabilities,247073.0,0.0,78681.0
Non Current Deferred Taxes Liabilities,247073.0,0.0,78681.0
Long Term Debt And Capital Lease Obligation,36048604.0,37102937.0,35910582.0
Long Term Capital Lease Obligation,35862500.0,36525420.0,34875582.0
Long Term Debt,186104.0,577517.0,1035000.0
Current Liabilities,153850510.0,141155461.0,100390968.0
Other Current Liabilities,4596393.0,4102159.0,8847304.0
Current Deferred Liabilities,8676662.0,2671068.0,588735.0
Current Deferred Revenue,8676662.0,2671068.0,588735.0
Current Debt And Capital Lease Obligation,81458022.0,78505325.0,48742799.0
Current Capital Lease Obligation,2370547.0,2000610.0,1695973.0
Current Debt,79087475.0,76504715.0,47046826.0
Other Current Borrowings,30783203.0,23259226.0,708667.0
Line Of Credit,48304272.0,53245489.0,46338159.0
Payables And Accrued Expenses,59119433.0,55876909.0,42212130.0
Payables,59119433.0,55876909.0,42212130.0
Dueto Related Parties Current,6017600.0,8480516.0,7372804.0
Accounts Payable,53101833.0,47396393.0,34839326.0
Total Assets,143887955.0,180889376.0,171318471.0
Total Non Current Assets,75451717.0,78393947.0,64892701.0
Non Current Prepaid Assets,35287.0,109606.0,765860.0
Non Current Deferred Assets,675717.0,946087.0,718521.0
Duefrom Related Parties Non Current,0.0,302406.0,309396.0
Non Current Accounts Receivable,,302406.0,309396.0
Investments And Advances,5873574.0,9541713.0,4051045.0
Long Term Equity Investment,5873574.0,9541713.0,4051045.0
Investments In Other Ventures Under Equity Method,5873574.0,9541713.0,4051045.0
Investmentsin Associatesat Cost,,9541713.0,4051045.0
Goodwill And Other Intangible Assets,3319663.0,2938340.0,3099370.0
Other Intangible Assets,2448489.0,2938340.0,562067.0
Goodwill,871174.0,0.0,2537303.0
Net PPE,65547476.0,64555795.0,55948509.0
Accumulated Depreciation,-3877272.0,-1988384.0,-513791.0
Gross PPE,69424748.0,66544179.0,56462300.0
Other Properties,49610354.0,46720948.0,36050166.0
Machinery Furniture Equipment,3220905.0,3713916.0,3987699.0
Buildings And Improvements,16498489.0,16014315.0,16329435.0
Land And Improvements,95000.0,95000.0,95000.0
Properties,0.0,0.0,0.0
Current Assets,68436238.0,102495429.0,106425770.0
Hedging Assets Current,15547432.0,14573212.0,23790532.0
Assets Held For Sale Current,,,2476528.0
Prepaid Assets,1227012.0,1967126.0,529921.0
Inventory,26009438.0,47919591.0,50392323.0
Other Inventories,24584482.0,41373838.0,50345775.0
Finished Goods,1424956.0,6545753.0,46548.0
Receivables,24700076.0,35707703.0,27179444.0
Taxes Receivable,,0.0,53670.0
Notes Receivable,0.0,1491579.0,0.0
Loans Receivable,671500.0,552003.0,4693110.0
Accounts Receivable,24028576.0,33664121.0,22432664.0
Cash Cash Equivalents And Short Term Investments,952280.0,2327797.0,2057022.0
Cash And Cash Equivalents,952280.0,2327797.0,2057022.0
Cash Financial,952280.0,2327797.0,2057022.0
