,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,145770.930537,0.0,0.0
Tax Rate For Calcs,0.073385,0.027769,0.001672
Total Unusual Items,1986381.0,0.0,0.0
Total Unusual Items Excluding Goodwill,1986381.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,20951999.0,35932397.0,21000497.0
Net Interest Income,64177630.0,74684642.0,37013641.0
Interest Expense,6357457.0,6814075.0,1126846.0
Interest Income,70535087.0,81498717.0,38140487.0
Normalized Income,19111388.930537,35932397.0,21000497.0
Net Income From Continuing And Discontinued Operation,20951999.0,35932397.0,21000497.0
Diluted Average Shares,20345919.0,19957737.0,13808845.0
Basic Average Shares,20321091.0,19842222.0,13373778.0
Diluted EPS,1.02,1.79,1.52
Basic EPS,1.02,1.8,1.57
Diluted NI Availto Com Stockholders,20951999.0,35932397.0,21000497.0
Net Income Common Stockholders,20951999.0,35932397.0,21000497.0
Net Income,20951999.0,35932397.0,21000497.0
Net Income Including Noncontrolling Interests,20951999.0,35932397.0,21000497.0
Net Income Continuous Operations,20951999.0,35932397.0,21000497.0
Tax Provision,1659337.0,1026324.0,35167.0
Pretax Income,22611336.0,36958721.0,21035664.0
Special Income Charges,1986381.0,0.0,0.0
Gain On Sale Of Security,-1340476.0,450000.0,450000.0
Selling General And Administration,6013402.0,6038145.0,4958657.0
General And Administrative Expense,6013402.0,6038145.0,4958657.0
Other Gand A,5005254.0,4699676.0,3212785.0
Salaries And Wages,1008148.0,1338469.0,1745872.0
Total Revenue,54323790.0,71541547.0,38083462.0
Operating Revenue,54323790.0,71541547.0,38083462.0
Professional Expense And Contract Services Expense,1488410.0,1601961.0,1118291.0
Other Non Interest Expense,14064305.0,15765250.0,8321512.0
