,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.0,0.0
Normalized EBITDA,-45807000.0,-39375000.0
Total Unusual Items,-10091000.0,23000.0
Total Unusual Items Excluding Goodwill,-10091000.0,23000.0
Net Income From Continuing Operation Net Minority Interest,-63854000.0,-39722000.0
Reconciled Depreciation,162000.0,129000.0
EBITDA,-55898000.0,-39352000.0
EBIT,-56060000.0,-39481000.0
Net Interest Income,-5363000.0,224000.0
Interest Expense,7794000.0,241000.0
Interest Income,2431000.0,465000.0
Normalized Income,-53763000.0,-39745000.0
Net Income From Continuing And Discontinued Operation,-63854000.0,-39722000.0
Total Expenses,48400000.0,39969000.0
Total Operating Income As Reported,-48400000.0,-39969000.0
Diluted Average Shares,8704292.0,1671761.0
Basic Average Shares,8704292.0,1671761.0
Diluted EPS,-7.34,-23.76
Basic EPS,-7.34,-23.76
Diluted NI Availto Com Stockholders,-63854000.0,-39722000.0
Net Income Common Stockholders,-63854000.0,-39722000.0
Net Income,-63854000.0,-39722000.0
Net Income Including Noncontrolling Interests,-63854000.0,-39722000.0
Net Income Continuous Operations,-63854000.0,-39722000.0
Pretax Income,-63854000.0,-39722000.0
Other Income Expense,-10091000.0,23000.0
Gain On Sale Of Security,-10091000.0,23000.0
Net Non Operating Interest Income Expense,-5363000.0,224000.0
Interest Expense Non Operating,7794000.0,241000.0
Interest Income Non Operating,2431000.0,465000.0
Operating Income,-48400000.0,-39969000.0
Operating Expense,48400000.0,39969000.0
Research And Development,33886000.0,30522000.0
Selling General And Administration,14514000.0,9447000.0
General And Administrative Expense,14514000.0,9447000.0
Other Gand A,14514000.0,9447000.0
Total Revenue,0.0,0.0
Operating Revenue,0.0,0.0
