,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,279046000.0,280087000.0,276459151.0
Share Issued,279046000.0,280087000.0,276459151.0
Total Debt,40000000.0,49000000.0,54000000.0
Tangible Book Value,3355000000.0,-484000000.0,-904000000.0
Invested Capital,3750000000.0,-64000000.0,-573000000.0
Working Capital,2572000000.0,1945000000.0,1803000000.0
Net Tangible Assets,3355000000.0,-484000000.0,-904000000.0
Capital Lease Obligations,40000000.0,49000000.0,54000000.0
Common Stock Equity,3750000000.0,-64000000.0,-573000000.0
Total Capitalization,3750000000.0,-64000000.0,-573000000.0
Total Equity Gross Minority Interest,3750000000.0,-64000000.0,-573000000.0
Stockholders Equity,3750000000.0,-64000000.0,-573000000.0
Gains Losses Not Affecting Retained Earnings,3000000.0,-5000000.0,-1000000.0
Other Equity Adjustments,3000000.0,-5000000.0,-1000000.0
Retained Earnings,-2635000000.0,-977000000.0,-1405000000.0
Additional Paid In Capital,6382000000.0,918000000.0,833000000.0
Capital Stock,0.0,0.0,0.0
Common Stock,0.0,0.0,0.0
Total Liabilities Net Minority Interest,977000000.0,3733000000.0,3534000000.0
Total Non Current Liabilities Net Minority Interest,244000000.0,2938000000.0,2942000000.0
Other Non Current Liabilities,40000000.0,80000000.0,77000000.0
Preferred Securities Outside Stock Equity,177000000.0,2822000000.0,2822000000.0
Long Term Debt And Capital Lease Obligation,27000000.0,36000000.0,43000000.0
Long Term Capital Lease Obligation,27000000.0,36000000.0,43000000.0
Current Liabilities,733000000.0,795000000.0,592000000.0
Other Current Liabilities,101000000.0,69000000.0,24000000.0
Current Deferred Liabilities,197000000.0,179000000.0,148000000.0
Current Deferred Revenue,197000000.0,179000000.0,148000000.0
Current Debt And Capital Lease Obligation,13000000.0,13000000.0,11000000.0
Current Capital Lease Obligation,13000000.0,13000000.0,11000000.0
Pensionand Other Post Retirement Benefit Plans Current,38000000.0,35000000.0,20000000.0
Payables And Accrued Expenses,384000000.0,499000000.0,389000000.0
Current Accrued Expenses,277000000.0,369000000.0,312000000.0
Payables,107000000.0,130000000.0,77000000.0
Total Tax Payable,35000000.0,42000000.0,17000000.0
Income Tax Payable,0.0,17000000.0,2000000.0
Accounts Payable,72000000.0,88000000.0,60000000.0
Total Assets,4727000000.0,3669000000.0,2961000000.0
Total Non Current Assets,1422000000.0,929000000.0,566000000.0
Other Non Current Assets,31000000.0,31000000.0,34000000.0
Non Current Deferred Assets,830000000.0,371000000.0,0.0
Non Current Deferred Taxes Assets,830000000.0,371000000.0,0.0
Investments And Advances,0.0,28000000.0,128000000.0
Investmentin Financial Assets,0.0,28000000.0,128000000.0
Held To Maturity Securities,0.0,28000000.0,128000000.0
Available For Sale Securities,,28000000.0,128000000.0
Goodwill And Other Intangible Assets,395000000.0,420000000.0,331000000.0
Other Intangible Assets,77000000.0,103000000.0,68000000.0
Goodwill,318000000.0,317000000.0,263000000.0
Net PPE,166000000.0,79000000.0,73000000.0
Accumulated Depreciation,-50000000.0,-37000000.0,-25000000.0
Gross PPE,216000000.0,116000000.0,98000000.0
Leases,22000000.0,22000000.0,18000000.0
Other Properties,31000000.0,41000000.0,45000000.0
Machinery Furniture Equipment,163000000.0,53000000.0,35000000.0
Properties,0.0,0.0,0.0
Current Assets,3305000000.0,2740000000.0,2395000000.0
Other Current Assets,129000000.0,109000000.0,68000000.0
Restricted Cash,137000000.0,75000000.0,1000000.0
Receivables,853000000.0,842000000.0,832000000.0
Accounts Receivable,853000000.0,842000000.0,832000000.0
Allowance For Doubtful Accounts Receivable,-4000000.0,-2000000.0,-2000000.0
Gross Accounts Receivable,857000000.0,844000000.0,834000000.0
Cash Cash Equivalents And Short Term Investments,2186000000.0,1714000000.0,1494000000.0
Other Short Term Investments,49000000.0,209000000.0,348000000.0
Cash And Cash Equivalents,2137000000.0,1505000000.0,1146000000.0
