,2024-03-31,2023-03-31,2022-03-31
Free Cash Flow,-5819000.0,511000.0,1510000.0
Repayment Of Debt,-2282000.0,-619000.0,-3763000.0
Issuance Of Debt,3427000.0,1552000.0,699000.0
Issuance Of Capital Stock,8666000.0,0.0,
Capital Expenditure,-1520000.0,-1600000.0,-1654000.0
Interest Paid Supplemental Data,465000.0,273000.0,472000.0
Income Tax Paid Supplemental Data,1008000.0,1229000.0,1418000.0
End Cash Position,2084000.0,1131000.0,351000.0
Beginning Cash Position,1131000.0,351000.0,1178000.0
Effect Of Exchange Rate Changes,-64000.0,-26000.0,-17000.0
Changes In Cash,1017000.0,806000.0,-810000.0
Financing Cash Flow,7056000.0,252000.0,-3537000.0
Cash Flow From Continuing Financing Activities,7056000.0,252000.0,-3537000.0
Net Other Financing Charges,-2755000.0,-681000.0,
Net Common Stock Issuance,8666000.0,0.0,32000.0
Common Stock Issuance,8666000.0,0.0,
Net Issuance Payments Of Debt,1145000.0,933000.0,-3569000.0
Net Short Term Debt Issuance,2545000.0,1184000.0,-505000.0
Short Term Debt Issuance,2545000.0,1184000.0,
Net Long Term Debt Issuance,-1400000.0,-251000.0,-3064000.0
Long Term Debt Payments,-2282000.0,-619000.0,-3763000.0
Long Term Debt Issuance,882000.0,368000.0,699000.0
Investing Cash Flow,-1740000.0,-1557000.0,-437000.0
Cash Flow From Continuing Investing Activities,-1740000.0,-1557000.0,-437000.0
Net Other Investing Changes,-231000.0,31000.0,171000.0
Net PPE Purchase And Sale,-1509000.0,-1588000.0,-608000.0
Sale Of PPE,11000.0,12000.0,1046000.0
Purchase Of PPE,-1520000.0,-1600000.0,-1654000.0
Operating Cash Flow,-4299000.0,2111000.0,3164000.0
Cash Flow From Continuing Operating Activities,-4299000.0,2111000.0,3164000.0
Change In Working Capital,-8523000.0,-4304000.0,-2863000.0
Change In Other Current Liabilities,5330000.0,8014000.0,-148000.0
Change In Other Current Assets,-1527000.0,-6914000.0,99000.0
Change In Payables And Accrued Expense,-245000.0,1918000.0,1314000.0
Change In Accrued Expense,323000.0,898000.0,661000.0
Change In Payable,-568000.0,1020000.0,653000.0
Change In Account Payable,-568000.0,1020000.0,653000.0
Change In Prepaid Assets,-340000.0,-1199000.0,295000.0
Change In Receivables,-11741000.0,-6123000.0,-4423000.0
Changes In Account Receivables,-11741000.0,-6123000.0,-4423000.0
Other Non Cash Items,35000.0,-25000.0,
Stock Based Compensation,1626000.0,3805000.0,0.0
Provisionand Write Offof Assets,1098000.0,0.0,
Asset Impairment Charge,-48000.0,-12000.0,0.0
Deferred Tax,-718000.0,-161000.0,-190000.0
Deferred Income Tax,-718000.0,-161000.0,-190000.0
Depreciation Amortization Depletion,1352000.0,1172000.0,1140000.0
Depreciation And Amortization,1352000.0,1172000.0,1140000.0
Operating Gains Losses,-16377000.0,-70000.0,342000.0
Gain Loss On Investment Securities,-16363000.0,-130000.0,-163000.0
Net Foreign Currency Exchange Gain Loss,-26000.0,6000.0,
Gain Loss On Sale Of PPE,12000.0,54000.0,505000.0
Net Income From Continuing Operations,17256000.0,1706000.0,4735000.0
