,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,13.7259,0.0
Tax Rate For Calcs,0.0003,0.0
Normalized EBITDA,-16190032.0,-4945139.0
Total Unusual Items,45753.0,150527.0
Total Unusual Items Excluding Goodwill,45753.0,150527.0
Net Income From Continuing Operation Net Minority Interest,-16286234.0,-4945139.0
Reconciled Depreciation,37433.0,0.0
Reconciled Cost Of Revenue,294056.0,0.0
EBITDA,-16144279.0,-4945139.0
EBIT,-16181712.0,-4945139.0
Net Interest Income,-109473.0,3382.0
Interest Expense,118547.0,0.0
Interest Income,9074.0,3382.0
Normalized Income,-16331973.2741,-4945139.0
Net Income From Continuing And Discontinued Operation,-16286234.0,-4945139.0
Total Expenses,16475025.0,5099048.0
Total Operating Income As Reported,-16041999.0,-5099048.0
Diluted Average Shares,33066708.0,26793748.0
Basic Average Shares,33066708.0,26793748.0
Diluted EPS,-0.49,-0.18
Basic EPS,-0.49,-0.18
Diluted NI Availto Com Stockholders,-16286234.0,-4945139.0
Net Income Common Stockholders,-16286234.0,-4945139.0
Net Income,-16286234.0,-4945139.0
Minority Interests,7892.0,0.0
Net Income Including Noncontrolling Interests,-16294126.0,-4945139.0
Net Income Continuous Operations,-16294126.0,-4945139.0
Tax Provision,-6133.0,0.0
Pretax Income,-16300259.0,-4945139.0
Other Income Expense,-148787.0,150527.0
Other Non Operating Income Expenses,-194540.0,150527.0
Gain On Sale Of Security,45753.0,150527.0
Net Non Operating Interest Income Expense,-109473.0,3382.0
Interest Expense Non Operating,118547.0,0.0
Interest Income Non Operating,9074.0,3382.0
Operating Income,-16041999.0,-5099048.0
Operating Expense,16180969.0,5099048.0
Research And Development,764581.0,1273536.0
Selling General And Administration,15416388.0,3825512.0
General And Administrative Expense,15416388.0,3825512.0
Other Gand A,15416388.0,3825512.0
Gross Profit,138970.0,0.0
Cost Of Revenue,294056.0,0.0
Total Revenue,433026.0,0.0
Operating Revenue,433026.0,0.0
