,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,164976000.0,228354000.0,243851000.0
Repurchase Of Capital Stock,0.0,-23904000.0,0.0
Repayment Of Debt,-167165000.0,-188947000.0,-326894000.0
Issuance Of Debt,5471000.0,4265000.0,0.0
Capital Expenditure,-69340000.0,-45983000.0,-46787000.0
Interest Paid Supplemental Data,44348000.0,31116000.0,30071000.0
Income Tax Paid Supplemental Data,60607000.0,42169000.0,78379000.0
End Cash Position,31374000.0,37657000.0,30928000.0
Beginning Cash Position,37657000.0,30928000.0,144677000.0
Changes In Cash,-6283000.0,6729000.0,-113749000.0
Financing Cash Flow,-165291000.0,-209858000.0,-342589000.0
Cash Flow From Continuing Financing Activities,-165291000.0,-209858000.0,-342589000.0
Net Other Financing Charges,-6937000.0,-4612000.0,-25824000.0
Proceeds From Stock Option Exercised,3340000.0,3340000.0,10129000.0
Net Common Stock Issuance,0.0,-23904000.0,0.0
Common Stock Payments,0.0,-23904000.0,0.0
Net Issuance Payments Of Debt,-161694000.0,-184682000.0,-326894000.0
Net Long Term Debt Issuance,-161694000.0,-184682000.0,-326894000.0
Long Term Debt Payments,-167165000.0,-188947000.0,-326894000.0
Long Term Debt Issuance,5471000.0,4265000.0,0.0
Investing Cash Flow,-75308000.0,-57750000.0,-61798000.0
Cash Flow From Continuing Investing Activities,-75308000.0,-57750000.0,-61798000.0
Net Other Investing Changes,36000.0,38000.0,5089000.0
Net Business Purchase And Sale,-6004000.0,-11805000.0,-20100000.0
Purchase Of Business,-6004000.0,-11805000.0,-20100000.0
Net Intangibles Purchase And Sale,-4382000.0,0.0,0.0
Purchase Of Intangibles,-4382000.0,0.0,0.0
Net PPE Purchase And Sale,-64958000.0,-45983000.0,-46787000.0
Purchase Of PPE,-64958000.0,-45983000.0,-46787000.0
Operating Cash Flow,234316000.0,274337000.0,290638000.0
Cash Flow From Continuing Operating Activities,234316000.0,274337000.0,290638000.0
Change In Working Capital,-18700000.0,33917000.0,-7278000.0
Change In Other Current Assets,-18005000.0,6046000.0,-571000.0
Change In Payables And Accrued Expense,9567000.0,33802000.0,-19226000.0
Change In Receivables,-10262000.0,-5931000.0,12519000.0
Changes In Account Receivables,-10262000.0,-5931000.0,12519000.0
Other Non Cash Items,,316000.0,1133000.0
Stock Based Compensation,651000.0,2141000.0,2142000.0
Provisionand Write Offof Assets,327000.0,273000.0,52000.0
Deferred Tax,-6286000.0,-8639000.0,-1331000.0
Deferred Income Tax,-6286000.0,-8639000.0,-1331000.0
Depreciation Amortization Depletion,73051000.0,73667000.0,82210000.0
Depreciation And Amortization,73051000.0,73667000.0,82210000.0
Operating Gains Losses,530000.0,419000.0,-2326000.0
Earnings Losses From Equity Investments,526000.0,1577000.0,0.0
Net Income From Continuing Operations,184743000.0,172243000.0,216036000.0
