,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,,240709.35,0.0
Tax Rate For Calcs,,0.21,0.0
Normalized EBITDA,,-1016361.0,-6045742.0
Total Unusual Items,,1146235.0,995834.0
Total Unusual Items Excluding Goodwill,,1146235.0,995834.0
Net Income From Continuing Operation Net Minority Interest,,-487493.0,-5124302.0
Reconciled Depreciation,,532111.0,53200.0
Reconciled Cost Of Revenue,,6128128.0,6051976.0
EBITDA,,129874.0,-5049908.0
EBIT,,-402237.0,-5103108.0
Net Interest Income,,-32691.0,3596.0
Interest Expense,,75256.0,21194.0
Interest Income,,42565.0,24790.0
Normalized Income,,-1393018.65,-6120136.0
Net Income From Continuing And Discontinued Operation,,-487493.0,-5124302.0
Total Expenses,,17372954.0,19162841.0
Total Operating Income As Reported,,-2823813.0,-6123732.0
Diluted Average Shares,20390663.0,22812048.0,22812048.0
Basic Average Shares,13671376.0,22812048.0,22812048.0
Diluted EPS,0.8,-0.02137,-0.224631
Basic EPS,1.2,-0.02137,-0.224631
Diluted NI Availto Com Stockholders,,-487493.0,-5124302.0
Net Income Common Stockholders,,-487493.0,-5124302.0
Net Income,,-487493.0,-5124302.0
Net Income Including Noncontrolling Interests,,-487493.0,-5124302.0
Net Income Continuous Operations,,-487493.0,-5124302.0
Tax Provision,,10000.0,0.0
Pretax Income,,-477493.0,-5124302.0
Other Income Expense,,2379011.0,995834.0
Other Non Operating Income Expenses,,1232776.0,
Special Income Charges,,1146235.0,995834.0
Other Special Charges,,-1146235.0,-995834.0
Net Non Operating Interest Income Expense,,-32691.0,3596.0
Interest Expense Non Operating,,75256.0,21194.0
Interest Income Non Operating,,42565.0,24790.0
Operating Income,,-2823813.0,-6123732.0
Operating Expense,,11244826.0,13110865.0
Research And Development,,3614814.0,4215321.0
Selling General And Administration,,7630012.0,8895544.0
Gross Profit,,8421013.0,6987133.0
Cost Of Revenue,,6128128.0,6051976.0
Total Revenue,,14549141.0,13039109.0
Operating Revenue,,14384793.0,13039109.0
