,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,,0.0,0.0
Tax Rate For Calcs,,0.0,0.0
Normalized EBITDA,,-8631000.0,-6800000.0
Net Income From Continuing Operation Net Minority Interest,,-15923000.0,-8675000.0
Reconciled Depreciation,,75000.0,71000.0
Reconciled Cost Of Revenue,,498000.0,769000.0
EBITDA,,-8631000.0,-6800000.0
EBIT,,-8706000.0,-6871000.0
Normalized Income,,-15923000.0,-8675000.0
Net Income From Continuing And Discontinued Operation,,-15923000.0,-8675000.0
Total Expenses,,8943000.0,7181000.0
Total Operating Income As Reported,,-8706000.0,-6871000.0
Diluted Average Shares,12552925.0,10153564.0,10153564.0
Basic Average Shares,12552925.0,10153564.0,10153564.0
Diluted EPS,-2.38,-1.568218,-1.051355
Basic EPS,-2.38,-1.568218,-1.051355
Diluted NI Availto Com Stockholders,,-15923000.0,-10675000.0
Net Income Common Stockholders,,-15923000.0,-10675000.0
Preferred Stock Dividends,,2000000.0,2000000.0
Net Income,,-15923000.0,-8675000.0
Net Income Including Noncontrolling Interests,,-15923000.0,-8675000.0
Net Income Continuous Operations,,-15923000.0,-8675000.0
Pretax Income,,-15923000.0,-8675000.0
Other Income Expense,,-7217000.0,-1804000.0
Other Non Operating Income Expenses,,-7217000.0,-1804000.0
Operating Income,,-8706000.0,-6871000.0
Operating Expense,,8445000.0,6412000.0
Research And Development,,4975000.0,3939000.0
Selling General And Administration,,3470000.0,2473000.0
General And Administrative Expense,,2585000.0,2473000.0
Other Gand A,,2585000.0,2473000.0
Gross Profit,,-261000.0,-459000.0
Cost Of Revenue,,498000.0,769000.0
Total Revenue,,237000.0,310000.0
Operating Revenue,,237000.0,310000.0
