,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-31300000.0,-27579000.0,-15224000.0
Repayment Of Debt,-261000.0,-198000.0,-192000.0
Issuance Of Debt,,0.0,3006000.0
Issuance Of Capital Stock,9000000.0,48235000.0,11025000.0
Capital Expenditure,-232000.0,-184000.0,-490000.0
Interest Paid Supplemental Data,77000.0,77000.0,37000.0
End Cash Position,13557000.0,37430000.0,16631000.0
Beginning Cash Position,37430000.0,16631000.0,11703000.0
Changes In Cash,-23873000.0,20799000.0,4928000.0
Financing Cash Flow,7427000.0,48378000.0,20152000.0
Cash Flow From Continuing Financing Activities,7427000.0,48378000.0,20152000.0
Net Other Financing Charges,-1325000.0,-377000.0,-384000.0
Proceeds From Stock Option Exercised,13000.0,718000.0,6697000.0
Net Common Stock Issuance,9000000.0,48235000.0,11025000.0
Common Stock Issuance,9000000.0,48235000.0,11025000.0
Net Issuance Payments Of Debt,-261000.0,-198000.0,2814000.0
Net Long Term Debt Issuance,-261000.0,-198000.0,2814000.0
Long Term Debt Payments,-261000.0,-198000.0,-192000.0
Long Term Debt Issuance,,0.0,3006000.0
Investing Cash Flow,-232000.0,-184000.0,-490000.0
Cash Flow From Continuing Investing Activities,-232000.0,-184000.0,-490000.0
Net PPE Purchase And Sale,-232000.0,-184000.0,-490000.0
Purchase Of PPE,-232000.0,-184000.0,-490000.0
Operating Cash Flow,-31068000.0,-27395000.0,-14734000.0
Cash Flow From Continuing Operating Activities,-31068000.0,-27395000.0,-14734000.0
Change In Working Capital,-2799000.0,1394000.0,1329000.0
Change In Payables And Accrued Expense,-2458000.0,2248000.0,1594000.0
Change In Payable,-620000.0,2248000.0,1594000.0
Change In Account Payable,-620000.0,2248000.0,1594000.0
Change In Prepaid Assets,33000.0,-548000.0,-319000.0
Change In Inventory,-142000.0,-144000.0,-5000.0
Change In Receivables,-218000.0,-162000.0,59000.0
Changes In Account Receivables,-218000.0,-162000.0,59000.0
Other Non Cash Items,578000.0,37000.0,26000.0
Stock Based Compensation,2414000.0,3539000.0,1548000.0
Depreciation Amortization Depletion,264000.0,302000.0,265000.0
Depreciation And Amortization,264000.0,302000.0,265000.0
Operating Gains Losses,-1704000.0,-1005000.0,3000.0
Gain Loss On Investment Securities,-1704000.0,,
Gain Loss On Sale Of PPE,64000.0,1000.0,3000.0
Net Income From Continuing Operations,-29885000.0,-31662000.0,-17905000.0
