,2023-12-31,2022-12-31
Ordinary Shares Number,7110329.0,10822500.0
Share Issued,7110329.0,10822500.0
Net Debt,1613036.0,
Total Debt,1817500.0,
Tangible Book Value,42195923.0,82100295.0
Invested Capital,44013423.0,82100295.0
Working Capital,-5394540.0,-383805.0
Net Tangible Assets,42195923.0,82100295.0
Common Stock Equity,42195923.0,82100295.0
Total Capitalization,42195923.0,82100295.0
Total Equity Gross Minority Interest,42195923.0,82100295.0
Stockholders Equity,42195923.0,82100295.0
Retained Earnings,-8282297.0,-3271562.0
Additional Paid In Capital,,0.0
Capital Stock,50478220.0,85371857.0
Common Stock,50478220.0,85371857.0
Preferred Stock,0.0,0.0
Total Liabilities Net Minority Interest,8491480.0,4179141.0
Total Non Current Liabilities Net Minority Interest,2887500.0,2887500.0
Non Current Deferred Liabilities,2887500.0,2887500.0
Current Liabilities,5603980.0,1291641.0
Current Debt And Capital Lease Obligation,1817500.0,
Current Debt,1817500.0,
Current Notes Payable,1817500.0,0.0
Payables And Accrued Expenses,3786480.0,1291641.0
Current Accrued Expenses,36899.0,0.0
Interest Payable,36899.0,0.0
Payables,3749581.0,1291641.0
Accounts Payable,3749581.0,1291641.0
Total Assets,50687403.0,86279436.0
Total Non Current Assets,50477963.0,85371600.0
Other Non Current Assets,50477963.0,85371600.0
Current Assets,209440.0,907836.0
Prepaid Assets,4976.0,88089.0
Cash Cash Equivalents And Short Term Investments,204464.0,819747.0
Cash And Cash Equivalents,204464.0,819747.0
Cash Financial,204464.0,819747.0
