,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,3788053.92,0.0
Tax Rate For Calcs,0.21,0.0
Normalized EBITDA,-19161244.0,-3542.0
Total Unusual Items,18038352.0,
Total Unusual Items Excluding Goodwill,18038352.0,
Net Income From Continuing Operation Net Minority Interest,16915460.0,-3542.0
EBITDA,-1122892.0,-3542.0
EBIT,-1122892.0,-3542.0
Normalized Income,2665161.92,-3542.0
Net Income From Continuing And Discontinued Operation,16915460.0,-3542.0
Total Expenses,1122892.0,3542.0
Total Operating Income As Reported,-1122892.0,-3542.0
Diluted Average Shares,46883562.0,62937500.0
Basic Average Shares,46883562.0,62937500.0
Diluted EPS,0.36,-5.6e-05
Basic EPS,0.36,-5.6e-05
Diluted NI Availto Com Stockholders,16915460.0,-3542.0
Net Income Common Stockholders,16915460.0,-3542.0
Net Income,16915460.0,-3542.0
Net Income Including Noncontrolling Interests,16915460.0,-3542.0
Net Income Continuous Operations,16915460.0,-3542.0
Pretax Income,16915460.0,-3542.0
Other Income Expense,18038352.0,
Gain On Sale Of Security,18038352.0,
Operating Income,-1122892.0,-3542.0
Operating Expense,1122892.0,3542.0
Other Operating Expenses,,3542.0
Selling General And Administration,1122892.0,3542.0
General And Administrative Expense,1122892.0,3542.0
Other Gand A,1122892.0,3542.0
Total Revenue,0.0,0.0
Operating Revenue,0.0,0.0
