,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.145,0.013
Normalized EBITDA,-27716000.0,-59387000.0
Net Income From Continuing Operation Net Minority Interest,-26257000.0,-58345000.0
Reconciled Depreciation,1781000.0,807000.0
Reconciled Cost Of Revenue,35967000.0,21191000.0
EBITDA,-27716000.0,-59387000.0
EBIT,-29497000.0,-60194000.0
Net Interest Income,6549000.0,2613000.0
Interest Income,6549000.0,2613000.0
Normalized Income,-26257000.0,-58345000.0
Net Income From Continuing And Discontinued Operation,-26257000.0,-58345000.0
Total Expenses,145291000.0,140066000.0
Total Operating Income As Reported,-29497000.0,-60194000.0
Diluted Average Shares,130452000.0,130452000.0
Basic Average Shares,130452000.0,130452000.0
Diluted EPS,-0.201277,-0.447253
Basic EPS,-0.201277,-0.447253
Diluted NI Availto Com Stockholders,-26257000.0,-58345000.0
Net Income Common Stockholders,-26257000.0,-58345000.0
Net Income,-26257000.0,-58345000.0
Net Income Including Noncontrolling Interests,-26257000.0,-58345000.0
Net Income Continuous Operations,-26257000.0,-58345000.0
Tax Provision,3309000.0,764000.0
Pretax Income,-22948000.0,-57581000.0
Net Non Operating Interest Income Expense,6549000.0,2613000.0
Interest Income Non Operating,6549000.0,2613000.0
Operating Income,-29497000.0,-60194000.0
Operating Expense,109324000.0,118875000.0
Research And Development,73407000.0,73711000.0
Selling General And Administration,35917000.0,45164000.0
Selling And Marketing Expense,19992000.0,24407000.0
General And Administrative Expense,15925000.0,20757000.0
Other Gand A,15925000.0,20757000.0
Gross Profit,79827000.0,58681000.0
Cost Of Revenue,35967000.0,21191000.0
Total Revenue,115794000.0,79872000.0
Operating Revenue,115794000.0,79872000.0
