,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-78122.153217,0.0
Tax Rate For Calcs,0.132568,0.016572
Normalized EBITDA,-2529153.0,-3201419.0
Total Unusual Items,-589299.0,0.0
Total Unusual Items Excluding Goodwill,-589299.0,0.0
Net Income From Continuing Operation Net Minority Interest,-3539881.0,-3441347.0
Reconciled Depreciation,683729.0,268835.0
Reconciled Cost Of Revenue,11404224.0,3445559.0
EBITDA,-3118452.0,-3201419.0
EBIT,-3802181.0,-3470254.0
Net Interest Income,-281808.0,-48053.0
Interest Expense,281808.0,48053.0
Normalized Income,-3028704.153217,-3441347.0
Net Income From Continuing And Discontinued Operation,-3539881.0,-3441347.0
Total Expenses,18719605.0,7702691.0
Total Operating Income As Reported,-3867589.0,-3364646.0
Diluted Average Shares,19734023.0,19734023.0
Basic Average Shares,19734023.0,19734023.0
Diluted EPS,-0.17938,-0.174386
Basic EPS,-0.17938,-0.174386
Diluted NI Availto Com Stockholders,-3539881.0,-3441347.0
Net Income Common Stockholders,-3539881.0,-3441347.0
Net Income,-3539881.0,-3441347.0
Minority Interests,2702.0,18655.0
Net Income Including Noncontrolling Interests,-3542583.0,-3460002.0
Net Income Continuous Operations,-3542583.0,-3460002.0
Tax Provision,-541406.0,-58305.0
Pretax Income,-4083989.0,-3518307.0
Other Income Expense,-523891.0,-105608.0
Other Non Operating Income Expenses,65408.0,-105608.0
Special Income Charges,-589299.0,0.0
Impairment Of Capital Assets,589299.0,0.0
Net Non Operating Interest Income Expense,-281808.0,-48053.0
Interest Expense Non Operating,281808.0,48053.0
Operating Income,-3278290.0,-3364646.0
Operating Expense,7315381.0,4257132.0
Selling General And Administration,7315381.0,4257132.0
Gross Profit,4037091.0,892486.0
Cost Of Revenue,11404224.0,3445559.0
Total Revenue,15441315.0,4338045.0
Operating Revenue,15441315.0,4338045.0
