,2023-12-31,2022-12-31
Ordinary Shares Number,8062750.0,8062750.0
Share Issued,8062750.0,8062750.0
Net Debt,,29237.0
Total Debt,,29237.0
Tangible Book Value,60038934.0,-4237.0
Invested Capital,60038934.0,25000.0
Working Capital,517747.0,-29237.0
Net Tangible Assets,60038934.0,-4237.0
Common Stock Equity,60038934.0,-4237.0
Total Capitalization,60038934.0,-4237.0
Total Equity Gross Minority Interest,60038934.0,-4237.0
Stockholders Equity,60038934.0,-4237.0
Retained Earnings,-682437.0,-4237.0
Additional Paid In Capital,0.0,0.0
Capital Stock,60721371.0,0.0
Common Stock,60721371.0,0.0
Total Liabilities Net Minority Interest,1266888.0,29237.0
Total Non Current Liabilities Net Minority Interest,1200000.0,0.0
Tradeand Other Payables Non Current,1200000.0,0.0
Current Liabilities,66888.0,29237.0
Current Debt And Capital Lease Obligation,,29237.0
Current Debt,,29237.0
Other Current Borrowings,,29237.0
Current Notes Payable,,29237.0
Payables And Accrued Expenses,66888.0,0.0
Current Accrued Expenses,66888.0,0.0
Total Assets,61305822.0,25000.0
Total Non Current Assets,60721187.0,25000.0
Other Non Current Assets,60721187.0,
Non Current Deferred Assets,0.0,25000.0
Current Assets,584635.0,0.0
Cash Cash Equivalents And Short Term Investments,584635.0,0.0
Cash And Cash Equivalents,584635.0,0.0
Cash Financial,584635.0,0.0
