,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-1915.387645,75199.338016,8001.374309
Tax Rate For Calcs,0.002269,0.005691,0.003551
Normalized EBITDA,-146104000.0,-90041000.0,-127866000.0
Total Unusual Items,-844000.0,13213000.0,2253000.0
Total Unusual Items Excluding Goodwill,-844000.0,13213000.0,2253000.0
Net Income From Continuing Operation Net Minority Interest,-159590000.0,-91022000.0,-146461000.0
Reconciled Depreciation,11559000.0,11412000.0,14848000.0
Reconciled Cost Of Revenue,3161193000.0,2536746000.0,1654592000.0
EBITDA,-146948000.0,-76828000.0,-125613000.0
EBIT,-158507000.0,-88240000.0,-140461000.0
Net Interest Income,3952000.0,-1413000.0,-6244000.0
Interest Expense,1446000.0,3303000.0,6522000.0
Interest Income,5398000.0,1890000.0,278000.0
Normalized Income,-158747915.387645,-104159800.661984,-148705998.625691
Net Income From Continuing And Discontinued Operation,-159590000.0,-91022000.0,-146461000.0
Total Expenses,3456828000.0,2774698000.0,1866838000.0
Total Operating Income As Reported,-167781000.0,-115953000.0,-155709000.0
Diluted Average Shares,45415205.0,79491704.0,79491704.0
Basic Average Shares,45415205.0,79491704.0,79491704.0
Diluted EPS,-20.3,-3.513486,-0.566021
Basic EPS,-20.3,-3.513486,-0.566021
Diluted NI Availto Com Stockholders,-921759000.0,-279293000.0,-44994000.0
Net Income Common Stockholders,-921759000.0,-279293000.0,-44994000.0
Otherunder Preferred Stock Dividend,762169000.0,188271000.0,-101467000.0
Preferred Stock Dividends,,188271000.0,-101467000.0
Net Income,-159590000.0,-91022000.0,-146461000.0
Net Income Including Noncontrolling Interests,-159590000.0,-91022000.0,-146461000.0
Net Income Continuous Operations,-159590000.0,-91022000.0,-146461000.0
Tax Provision,-363000.0,-521000.0,-522000.0
Pretax Income,-159953000.0,-91543000.0,-146983000.0
Other Income Expense,-8495000.0,5509000.0,-9305000.0
Other Non Operating Income Expenses,-7651000.0,-7704000.0,-11558000.0
Gain On Sale Of Security,-844000.0,13213000.0,2253000.0
Net Non Operating Interest Income Expense,3952000.0,-1413000.0,-6244000.0
Interest Expense Non Operating,1446000.0,3303000.0,6522000.0
Interest Income Non Operating,5398000.0,1890000.0,278000.0
Operating Income,-155410000.0,-95639000.0,-131434000.0
Operating Expense,295635000.0,237952000.0,212246000.0
Other Operating Expenses,-12371000.0,-20314000.0,-24275000.0
Research And Development,57167000.0,49946000.0,46785000.0
Selling General And Administration,250839000.0,208320000.0,189736000.0
Selling And Marketing Expense,111454000.0,138970000.0,110064000.0
General And Administrative Expense,139385000.0,69350000.0,79672000.0
Other Gand A,139385000.0,69350000.0,79672000.0
Gross Profit,140225000.0,142313000.0,80812000.0
Cost Of Revenue,3161193000.0,2536746000.0,1654592000.0
Total Revenue,3301418000.0,2679059000.0,1735404000.0
Operating Revenue,3300233000.0,2679048000.0,1729868000.0
