,2023-12-31,2022-12-31
Ordinary Shares Number,30350000.0,30350000.0
Share Issued,30350000.0,30350000.0
Net Debt,542975.0,542975.0
Total Debt,542975.0,542975.0
Tangible Book Value,-34715.0,-463035.0
Invested Capital,508260.0,79940.0
Working Capital,508260.0,79940.0
Net Tangible Assets,-34715.0,-463035.0
Common Stock Equity,-34715.0,-463035.0
Total Capitalization,508260.0,79940.0
Total Equity Gross Minority Interest,-34715.0,-463035.0
Stockholders Equity,-34715.0,-463035.0
Retained Earnings,-59715.0,-488035.0
Additional Paid In Capital,24281.0,24281.0
Capital Stock,719.0,719.0
Common Stock,719.0,719.0
Preferred Stock,0.0,0.0
Total Liabilities Net Minority Interest,569509.0,997829.0
Total Non Current Liabilities Net Minority Interest,542975.0,542975.0
Long Term Debt And Capital Lease Obligation,542975.0,542975.0
Long Term Debt,542975.0,542975.0
Current Liabilities,26534.0,454854.0
Payables And Accrued Expenses,26534.0,454854.0
Current Accrued Expenses,5316.0,433636.0
Payables,21218.0,21218.0
Accounts Payable,21218.0,21218.0
Total Assets,534794.0,534794.0
Total Non Current Assets,0.0,0.0
Current Assets,534794.0,534794.0
Prepaid Assets,534794.0,534794.0
