,2023-12-31,2022-12-31
Ordinary Shares Number,48519326.0,48017621.0
Share Issued,48519326.0,48017621.0
Total Debt,2034000.0,0.0
Tangible Book Value,503354000.0,0.0
Invested Capital,503354000.0,0.0
Working Capital,377851000.0,142075000.0
Net Tangible Assets,503354000.0,0.0
Capital Lease Obligations,2034000.0,0.0
Common Stock Equity,503354000.0,0.0
Total Capitalization,379913000.0,142075000.0
Total Equity Gross Minority Interest,379913000.0,142075000.0
Stockholders Equity,503354000.0,0.0
Gains Losses Not Affecting Retained Earnings,329000.0,0.0
Other Equity Adjustments,329000.0,
Retained Earnings,-123770000.0,-39785000.0
Additional Paid In Capital,503354000.0,0.0
Capital Stock,0.0,0.0
Common Stock,0.0,0.0
Preferred Stock,0.0,0.0
Total Partnership Capital,-123441000.0,142075000.0
General Partnership Capital,,2142000.0
Limited Partnership Capital,0.0,181860000.0
Total Liabilities Net Minority Interest,21491000.0,9980000.0
Total Non Current Liabilities Net Minority Interest,933000.0,0.0
Long Term Debt And Capital Lease Obligation,933000.0,0.0
Long Term Capital Lease Obligation,933000.0,0.0
Current Liabilities,20558000.0,9980000.0
Current Debt And Capital Lease Obligation,1101000.0,
Current Capital Lease Obligation,1101000.0,0.0
Pensionand Other Post Retirement Benefit Plans Current,167000.0,515000.0
Payables And Accrued Expenses,19290000.0,9465000.0
Current Accrued Expenses,17147000.0,9047000.0
Payables,2143000.0,418000.0
Accounts Payable,2143000.0,418000.0
Total Assets,401404000.0,152055000.0
Total Non Current Assets,2995000.0,0.0
Other Non Current Assets,401000.0,
Net PPE,2594000.0,0.0
Gross PPE,2594000.0,0.0
Other Properties,2594000.0,
Current Assets,398409000.0,152055000.0
Other Current Assets,1214000.0,57000.0
Prepaid Assets,1736000.0,108000.0
Cash Cash Equivalents And Short Term Investments,395459000.0,151890000.0
Other Short Term Investments,277143000.0,0.0
Cash And Cash Equivalents,118316000.0,151890000.0
Cash Financial,,151890000.0
