,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,830769.87,0.0
Tax Rate For Calcs,0.21,0.0
Normalized EBITDA,-4616030.0,0.0
Total Unusual Items,3956047.0,
Total Unusual Items Excluding Goodwill,3956047.0,
Net Income From Continuing Operation Net Minority Interest,3296064.0,0.0
EBITDA,-659983.0,0.0
EBIT,-659983.0,0.0
Normalized Income,170786.87,0.0
Net Income From Continuing And Discontinued Operation,3296064.0,0.0
Total Expenses,659983.0,0.0
Total Operating Income As Reported,-659983.0,0.0
Diluted Average Shares,10203297.0,14375000.0
Basic Average Shares,3133346.0,14375000.0
Diluted EPS,0.31,0.0
Basic EPS,0.31,0.0
Diluted NI Availto Com Stockholders,3296064.0,0.0
Net Income Common Stockholders,3296064.0,0.0
Net Income,3296064.0,0.0
Net Income Including Noncontrolling Interests,3296064.0,0.0
Net Income Continuous Operations,3296064.0,0.0
Pretax Income,3296064.0,0.0
Other Income Expense,3956047.0,
Gain On Sale Of Security,3956047.0,
Operating Income,-659983.0,0.0
Operating Expense,659983.0,0.0
Other Operating Expenses,659983.0,
Total Revenue,0.0,0.0
Operating Revenue,0.0,0.0
