,2023-07-31,2022-07-31
Ordinary Shares Number,33069790.0,31899794.0
Share Issued,33069790.0,31899794.0
Tangible Book Value,-54762.0,783871.0
Invested Capital,-54762.0,783871.0
Working Capital,-57583.0,779032.0
Net Tangible Assets,-54762.0,783871.0
Common Stock Equity,-54762.0,783871.0
Total Capitalization,-54762.0,783871.0
Total Equity Gross Minority Interest,-54762.0,783871.0
Stockholders Equity,-54762.0,783871.0
Gains Losses Not Affecting Retained Earnings,4678818.0,2114762.0
Other Equity Adjustments,4678818.0,2114762.0
Retained Earnings,-12651987.0,-5949828.0
Capital Stock,7918407.0,4618937.0
Common Stock,7918407.0,4618937.0
Total Liabilities Net Minority Interest,908652.0,3423583.0
Total Non Current Liabilities Net Minority Interest,0.0,0.0
Current Liabilities,908652.0,3423583.0
Payables And Accrued Expenses,908652.0,3423583.0
Current Accrued Expenses,418365.0,23183.0
Payables,490287.0,3400400.0
Dueto Related Parties Current,0.0,3222840.0
Accounts Payable,490287.0,177560.0
Total Assets,853890.0,4207454.0
Total Non Current Assets,2821.0,4839.0
Net PPE,2821.0,4839.0
Gross PPE,2821.0,4839.0
Other Properties,2821.0,4839.0
Current Assets,851069.0,4202615.0
Prepaid Assets,311690.0,442256.0
Receivables,49408.0,4704.0
Taxes Receivable,49408.0,4704.0
Cash Cash Equivalents And Short Term Investments,489971.0,3755655.0
Cash And Cash Equivalents,489971.0,3755655.0
Cash Financial,489971.0,3755655.0
