,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,475860.0,0.0
Tax Rate For Calcs,0.0,0.21,0.0
Normalized EBITDA,-9336620.0,-10024914.0,-6664959.0
Total Unusual Items,-23005013.0,2266000.0,3363454.0
Total Unusual Items Excluding Goodwill,-23005013.0,2266000.0,3363454.0
Net Income From Continuing Operation Net Minority Interest,-36798419.0,-12268216.0,-7219141.0
Reconciled Depreciation,1923046.0,1889830.0,1248959.0
Reconciled Cost Of Revenue,5057137.0,5453310.0,5691637.0
EBITDA,-32341633.0,-7758914.0,-3301505.0
EBIT,-34264679.0,-9648744.0,-4550464.0
Net Interest Income,-2526740.0,-2611371.0,-2659647.0
Interest Expense,2526740.0,2611371.0,2659647.0
Normalized Income,-13793406.0,-14058356.0,-10582595.0
Net Income From Continuing And Discontinued Operation,-36798419.0,-12268216.0,-7219141.0
Total Expenses,19235183.0,20136140.0,16214596.0
Rent Expense Supplemental,1370000.0,2082000.0,1808000.0
Total Operating Income As Reported,-11264559.0,-11827342.0,-7927908.0
Diluted Average Shares,4890905.0,8280389.0,8280389.0
Basic Average Shares,4890905.0,8280389.0,8280389.0
Diluted EPS,-7.523847,-2.508373,-0.871836
Basic EPS,-7.523847,-2.508373,-0.871836
Diluted NI Availto Com Stockholders,-36798419.0,-12268216.0,-7219141.0
Net Income Common Stockholders,-36798419.0,-12268216.0,-7219141.0
Net Income,-36798419.0,-12268216.0,-7219141.0
Net Income Including Noncontrolling Interests,-36798419.0,-12268216.0,-7219141.0
Net Income Continuous Operations,-36798419.0,-12268216.0,-7219141.0
Tax Provision,7000.0,8101.0,9030.0
Pretax Income,-36791419.0,-12260115.0,-7210111.0
Other Income Expense,-23000121.0,2178598.0,3377444.0
Other Non Operating Income Expenses,4892.0,-87402.0,13990.0
Special Income Charges,,0.0,3363454.0
Other Special Charges,,,-3363454.0
Gain On Sale Of Security,-23005013.0,2266000.0,
Net Non Operating Interest Income Expense,-2526740.0,-2611371.0,-2659647.0
Interest Expense Non Operating,2526740.0,2611371.0,2659647.0
Operating Income,-11263959.0,-11826574.0,-7927673.0
Operating Expense,13415000.0,14039000.0,10166000.0
Depreciation Amortization Depletion Income Statement,1160000.0,1246000.0,892000.0
Depreciation And Amortization In Income Statement,1160000.0,1246000.0,892000.0
Depreciation Income Statement,1160000.0,1246000.0,892000.0
Selling General And Administration,12255000.0,12793000.0,9274000.0
Selling And Marketing Expense,1967000.0,2006000.0,819000.0
General And Administrative Expense,10288000.0,10787000.0,8455000.0
Other Gand A,3535000.0,3034000.0,3138000.0
Rent And Landing Fees,1370000.0,2082000.0,1808000.0
Salaries And Wages,5383000.0,5671000.0,3509000.0
Gross Profit,2151041.0,2212426.0,2238327.0
Cost Of Revenue,5820183.0,6097140.0,6048596.0
Total Revenue,7971224.0,8309566.0,8286923.0
Operating Revenue,7971224.0,8309566.0,8286923.0
