,2022-12-31,2021-12-31
Free Cash Flow,-2892000.0,-3820000.0
Issuance Of Debt,1745000.0,2042000.0
Issuance Of Capital Stock,290000.0,0.0
Interest Paid Supplemental Data,0.0,0.0
Income Tax Paid Supplemental Data,0.0,0.0
End Cash Position,58000.0,653000.0
Beginning Cash Position,653000.0,834000.0
Changes In Cash,-595000.0,-181000.0
Financing Cash Flow,2035000.0,2042000.0
Cash Flow From Continuing Financing Activities,2035000.0,2042000.0
Net Common Stock Issuance,290000.0,0.0
Common Stock Issuance,290000.0,0.0
Net Issuance Payments Of Debt,1745000.0,2042000.0
Net Short Term Debt Issuance,1745000.0,2042000.0
Short Term Debt Issuance,1745000.0,2042000.0
Investing Cash Flow,262000.0,1597000.0
Cash Flow From Continuing Investing Activities,262000.0,1597000.0
Net Investment Purchase And Sale,0.0,1000000.0
Sale Of Investment,0.0,1000000.0
Net PPE Purchase And Sale,262000.0,597000.0
Sale Of PPE,262000.0,597000.0
Operating Cash Flow,-2892000.0,-3820000.0
Cash Flow From Continuing Operating Activities,-2892000.0,-3820000.0
Change In Working Capital,391000.0,-193000.0
Change In Other Working Capital,450000.0,-370000.0
Change In Payables And Accrued Expense,-98000.0,98000.0
Change In Accrued Expense,-18000.0,-108000.0
Change In Payable,-80000.0,206000.0
Change In Account Payable,-80000.0,206000.0
Change In Prepaid Assets,12000.0,53000.0
Change In Receivables,27000.0,26000.0
Other Non Cash Items,460000.0,127000.0
Stock Based Compensation,60000.0,608000.0
Depreciation Amortization Depletion,14000.0,429000.0
Depreciation And Amortization,14000.0,429000.0
Depreciation,14000.0,429000.0
Operating Gains Losses,-28000.0,-410000.0
Gain Loss On Investment Securities,,-551000.0
Gain Loss On Sale Of PPE,-87000.0,-308000.0
Net Income From Continuing Operations,-3789000.0,-4381000.0
