,2022-12-31,2021-12-31
Ordinary Shares Number,7870251.0,7870251.0
Share Issued,7870251.0,7870251.0
Net Debt,,1135000.0
Total Debt,,1788000.0
Tangible Book Value,-2111000.0,-5444000.0
Invested Capital,-2111000.0,-3655000.0
Working Capital,-2163000.0,-3264000.0
Net Tangible Assets,-2111000.0,-3015000.0
Common Stock Equity,-2111000.0,-5443000.0
Preferred Stock Equity,,2429000.0
Total Capitalization,-2111000.0,-3014000.0
Total Equity Gross Minority Interest,-2111000.0,-3014000.0
Stockholders Equity,-2111000.0,-3014000.0
Retained Earnings,-73906000.0,-67331000.0
Additional Paid In Capital,71776000.0,61888000.0
Capital Stock,19000.0,2429000.0
Common Stock,19000.0,0.0
Preferred Stock,0.0,2429000.0
Total Liabilities Net Minority Interest,2246000.0,3967000.0
Total Non Current Liabilities Net Minority Interest,0.0,0.0
Current Liabilities,2246000.0,3967000.0
Current Deferred Liabilities,909000.0,459000.0
Current Deferred Revenue,909000.0,459000.0
Current Debt And Capital Lease Obligation,,1788000.0
Current Debt,,1788000.0
Other Current Borrowings,,1788000.0
Payables And Accrued Expenses,1337000.0,1720000.0
Current Accrued Expenses,740000.0,753000.0
Payables,597000.0,967000.0
Dueto Related Parties Current,177000.0,467000.0
Accounts Payable,420000.0,500000.0
Total Assets,135000.0,953000.0
Total Non Current Assets,52000.0,250000.0
Non Current Prepaid Assets,52000.0,61000.0
Goodwill And Other Intangible Assets,0.0,1000.0
Net PPE,0.0,188000.0
Accumulated Depreciation,-3219000.0,-3789000.0
Gross PPE,3219000.0,3977000.0
Other Properties,2716000.0,3474000.0
Machinery Furniture Equipment,503000.0,503000.0
Current Assets,83000.0,703000.0
Prepaid Assets,6000.0,9000.0
Receivables,19000.0,41000.0
Other Receivables,19000.0,41000.0
Cash Cash Equivalents And Short Term Investments,58000.0,653000.0
Cash And Cash Equivalents,58000.0,653000.0
