,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.0,0.21
Normalized EBITDA,-10891000.0,-15781000.0
Net Income From Continuing Operation Net Minority Interest,-11706000.0,-17215000.0
Reconciled Depreciation,792000.0,856000.0
EBITDA,-10891000.0,-15781000.0
EBIT,-11683000.0,-16637000.0
Net Interest Income,40000.0,-200000.0
Interest Expense,23000.0,248000.0
Interest Income,63000.0,48000.0
Normalized Income,-11706000.0,-17215000.0
Net Income From Continuing And Discontinued Operation,-11706000.0,-17215000.0
Total Expenses,11868000.0,18714000.0
Total Operating Income As Reported,-11746000.0,-16685000.0
Diluted Average Shares,49981727.0,49981727.0
Basic Average Shares,49981727.0,49981727.0
Diluted EPS,-0.234206,-0.344426
Basic EPS,-0.234206,-0.344426
Diluted NI Availto Com Stockholders,-11706000.0,-17215000.0
Net Income Common Stockholders,-11706000.0,-17215000.0
Net Income,-11706000.0,-17215000.0
Net Income Including Noncontrolling Interests,-11706000.0,-17215000.0
Net Income Continuous Operations,-11706000.0,-17215000.0
Tax Provision,0.0,330000.0
Pretax Income,-11706000.0,-16885000.0
Net Non Operating Interest Income Expense,40000.0,-200000.0
Interest Expense Non Operating,23000.0,248000.0
Interest Income Non Operating,63000.0,48000.0
Operating Income,-11746000.0,-16685000.0
Operating Expense,11868000.0,18714000.0
Research And Development,4266000.0,9754000.0
Selling General And Administration,7602000.0,8960000.0
General And Administrative Expense,7602000.0,8960000.0
Other Gand A,7602000.0,8960000.0
Total Revenue,122000.0,2029000.0
Operating Revenue,122000.0,2029000.0
