,2023-12-31,2022-12-31
Free Cash Flow,-32847000.0,-60980000.0
Issuance Of Capital Stock,101000000.0,56393000.0
Capital Expenditure,-402000.0,-772000.0
End Cash Position,26666000.0,27775000.0
Beginning Cash Position,27775000.0,31970000.0
Changes In Cash,-1109000.0,-4195000.0
Financing Cash Flow,101029000.0,56782000.0
Cash Flow From Continuing Financing Activities,101029000.0,56782000.0
Proceeds From Stock Option Exercised,29000.0,389000.0
Net Preferred Stock Issuance,101000000.0,56393000.0
Preferred Stock Issuance,101000000.0,56393000.0
Investing Cash Flow,-69693000.0,-769000.0
Cash Flow From Continuing Investing Activities,-69693000.0,-769000.0
Net Investment Purchase And Sale,-69295000.0,0.0
Purchase Of Investment,-69295000.0,0.0
Net PPE Purchase And Sale,-398000.0,-769000.0
Sale Of PPE,4000.0,3000.0
Purchase Of PPE,-402000.0,-772000.0
Operating Cash Flow,-32445000.0,-60208000.0
Cash Flow From Continuing Operating Activities,-32445000.0,-60208000.0
Change In Working Capital,-5305000.0,-2790000.0
Change In Other Working Capital,342000.0,-179000.0
Change In Other Current Liabilities,-948000.0,-732000.0
Change In Other Current Assets,-28000.0,86000.0
Change In Payables And Accrued Expense,1401000.0,-2084000.0
Change In Accrued Expense,1825000.0,-2007000.0
Change In Payable,-424000.0,-77000.0
Change In Account Payable,716000.0,-77000.0
Change In Prepaid Assets,-391000.0,119000.0
Change In Inventory,-1187000.0,0.0
Change In Receivables,-4494000.0,0.0
Changes In Account Receivables,-4494000.0,0.0
Other Non Cash Items,,14000.0
Stock Based Compensation,5658000.0,6100000.0
Provisionand Write Offof Assets,-12000.0,0.0
Amortization Of Securities,-747000.0,0.0
Depreciation Amortization Depletion,2091000.0,2087000.0
Depreciation And Amortization,2091000.0,2087000.0
Depreciation,2091000.0,2087000.0
Operating Gains Losses,9969000.0,-868000.0
Gain Loss On Investment Securities,9958000.0,-911000.0
Gain Loss On Sale Of PPE,11000.0,43000.0
Net Income From Continuing Operations,-44099000.0,-64751000.0
