,2023-12-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.0
Normalized EBITDA,-7381771.0
Total Unusual Items,-956234.0
Total Unusual Items Excluding Goodwill,-956234.0
Net Income From Continuing Operation Net Minority Interest,-8357086.0
Reconciled Depreciation,1980.0
EBITDA,-8338005.0
EBIT,-8339985.0
Net Interest Income,231991.0
Interest Expense,17101.0
Interest Income,249092.0
Normalized Income,-7400852.0
Net Income From Continuing And Discontinued Operation,-8357086.0
Total Expenses,7632843.0
Total Operating Income As Reported,-7632843.0
Diluted Average Shares,899465.0
Basic Average Shares,899465.0
Diluted EPS,-9.3
Basic EPS,-9.3
Diluted NI Availto Com Stockholders,-8357086.0
Net Income Common Stockholders,-8357086.0
Net Income,-8357086.0
Net Income Including Noncontrolling Interests,-8357086.0
Net Income Continuous Operations,-8357086.0
Pretax Income,-8357086.0
Other Income Expense,-956234.0
Special Income Charges,-740139.0
Other Special Charges,740139.0
Gain On Sale Of Security,-216095.0
Net Non Operating Interest Income Expense,231991.0
Interest Expense Non Operating,17101.0
Interest Income Non Operating,249092.0
Operating Income,-7632843.0
Operating Expense,7632843.0
Depreciation Amortization Depletion Income Statement,1980.0
Depreciation And Amortization In Income Statement,1980.0
Depreciation Income Statement,1980.0
Research And Development,4081349.0
Selling General And Administration,3549514.0
General And Administrative Expense,3549514.0
Other Gand A,3549514.0
Total Revenue,0.0
Operating Revenue,0.0
