,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,14970500.0,14375000.0,14375000.0
Share Issued,14970500.0,14375000.0,14375000.0
Net Debt,,376497.0,162310.0
Total Debt,,376497.0,162310.0
Tangible Book Value,115203727.0,41250.0,41250.0
Invested Capital,115203727.0,417747.0,203560.0
Working Capital,-343564.0,-1174701.0,
Net Tangible Assets,115203727.0,41250.0,41250.0
Common Stock Equity,115203727.0,41250.0,41250.0
Total Capitalization,115203727.0,41250.0,41250.0
Total Equity Gross Minority Interest,115203727.0,41250.0,41250.0
Stockholders Equity,115203727.0,41250.0,41250.0
Retained Earnings,-5361185.0,-8750.0,-8750.0
Additional Paid In Capital,0.0,49712.0,49712.0
Capital Stock,120564912.0,288.0,288.0
Common Stock,120564912.0,288.0,288.0
Preferred Stock,0.0,0.0,0.0
Total Liabilities Net Minority Interest,6011978.0,1174701.0,366266.0
Total Non Current Liabilities Net Minority Interest,5175000.0,0.0,0.0
Tradeand Other Payables Non Current,5175000.0,0.0,
Current Liabilities,836978.0,1174701.0,366266.0
Current Debt And Capital Lease Obligation,,376497.0,162310.0
Current Debt,,376497.0,162310.0
Other Current Borrowings,,376497.0,162310.0
Current Notes Payable,,376497.0,162310.0
Payables And Accrued Expenses,836978.0,798204.0,203956.0
Current Accrued Expenses,119515.0,798204.0,203956.0
Payables,717463.0,,
Accounts Payable,717463.0,0.0,
Total Assets,121215705.0,1215951.0,407516.0
Total Non Current Assets,120722291.0,1215951.0,407516.0
Other Non Current Assets,120664565.0,,
Non Current Prepaid Assets,57726.0,0.0,
Non Current Deferred Assets,0.0,1215951.0,407516.0
Current Assets,493414.0,0.0,
Prepaid Assets,183672.0,0.0,
Cash Cash Equivalents And Short Term Investments,309742.0,0.0,
Cash And Cash Equivalents,309742.0,0.0,
Cash Financial,309742.0,0.0,
