,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-4698000.0,-16555000.0,16794000.0
Repayment Of Debt,-1300000.0,-617000.0,-10838000.0
Issuance Of Debt,0.0,787000.0,6374000.0
Issuance Of Capital Stock,113000.0,0.0,
Capital Expenditure,-1429000.0,-505000.0,-2847000.0
Interest Paid Supplemental Data,31000.0,20000.0,92000.0
Income Tax Paid Supplemental Data,0.0,81000.0,87000.0
End Cash Position,23603000.0,30376000.0,45955000.0
Beginning Cash Position,30376000.0,45955000.0,31271000.0
Effect Of Exchange Rate Changes,-265000.0,112000.0,89000.0
Changes In Cash,-6508000.0,-15691000.0,14595000.0
Financing Cash Flow,-2150000.0,95000.0,-4534000.0
Cash Flow From Continuing Financing Activities,-2150000.0,95000.0,-4534000.0
Net Other Financing Charges,-963000.0,-75000.0,-70000.0
Net Common Stock Issuance,113000.0,0.0,
Common Stock Issuance,113000.0,0.0,
Net Issuance Payments Of Debt,-1300000.0,170000.0,-4464000.0
Net Long Term Debt Issuance,-1300000.0,170000.0,-4464000.0
Long Term Debt Payments,-1300000.0,-617000.0,-10838000.0
Long Term Debt Issuance,0.0,787000.0,6374000.0
Investing Cash Flow,-1089000.0,264000.0,-512000.0
Cash Flow From Continuing Investing Activities,-1089000.0,264000.0,-512000.0
Net Other Investing Changes,340000.0,451000.0,568000.0
Net Investment Purchase And Sale,0.0,318000.0,1767000.0
Sale Of Investment,0.0,318000.0,2350000.0
Purchase Of Investment,,0.0,-583000.0
Capital Expenditure Reported,-1429000.0,-505000.0,-2847000.0
Operating Cash Flow,-3269000.0,-16050000.0,19641000.0
Cash Flow From Continuing Operating Activities,-3269000.0,-16050000.0,19641000.0
Change In Working Capital,1486000.0,-892000.0,12263000.0
Change In Other Working Capital,5474000.0,-435000.0,-1702000.0
Change In Other Current Liabilities,-1026000.0,-1112000.0,-1204000.0
Change In Payables And Accrued Expense,1507000.0,530000.0,-4998000.0
Change In Accrued Expense,705000.0,-453000.0,-2722000.0
Change In Payable,802000.0,983000.0,-2276000.0
Change In Account Payable,802000.0,983000.0,-2276000.0
Change In Prepaid Assets,-4324000.0,1397000.0,3301000.0
Change In Receivables,-145000.0,-1272000.0,16866000.0
Changes In Account Receivables,2890000.0,-1272000.0,16866000.0
Other Non Cash Items,1393000.0,1267000.0,2005000.0
Stock Based Compensation,,479000.0,703000.0
Asset Impairment Charge,,0.0,1625000.0
Deferred Tax,116000.0,1000.0,10000.0
Deferred Income Tax,116000.0,1000.0,10000.0
Depreciation Amortization Depletion,11830000.0,12863000.0,17174000.0
Depreciation And Amortization,11830000.0,12863000.0,17174000.0
Operating Gains Losses,551000.0,-198000.0,-240000.0
Net Income From Continuing Operations,-18645000.0,-29091000.0,-13196000.0
