,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.0,0.0
Normalized EBITDA,-24621157.0,-20179780.0
Total Unusual Items,-79822.0,36579.0
Total Unusual Items Excluding Goodwill,-79822.0,36579.0
Net Income From Continuing Operation Net Minority Interest,-24744620.0,-20159401.0
EBITDA,-24700979.0,-20143201.0
EBIT,-24700979.0,-20143201.0
Net Interest Income,309031.0,10827.0
Interest Expense,43641.0,16200.0
Interest Income,352672.0,27027.0
Normalized Income,-24664798.0,-20195980.0
Net Income From Continuing And Discontinued Operation,-24744620.0,-20159401.0
Total Expenses,24973829.0,20206807.0
Total Operating Income As Reported,-24973829.0,-20206807.0
Diluted Average Shares,15033731.0,15033731.0
Basic Average Shares,15033731.0,15033731.0
Diluted EPS,-1.65,-1.340945
Basic EPS,-1.65,-1.340945
Diluted NI Availto Com Stockholders,-24744620.0,-20159401.0
Net Income Common Stockholders,-24744620.0,-20159401.0
Net Income,-24744620.0,-20159401.0
Net Income Including Noncontrolling Interests,-24744620.0,-20159401.0
Net Income Continuous Operations,-24744620.0,-20159401.0
Pretax Income,-24744620.0,-20159401.0
Other Income Expense,-79822.0,36579.0
Gain On Sale Of Security,-79822.0,36579.0
Net Non Operating Interest Income Expense,309031.0,10827.0
Interest Expense Non Operating,43641.0,16200.0
Interest Income Non Operating,352672.0,27027.0
Operating Income,-24973829.0,-20206807.0
Operating Expense,24973829.0,20206807.0
Research And Development,21708332.0,16387216.0
Selling General And Administration,3265497.0,3819591.0
General And Administrative Expense,3265497.0,3819591.0
Other Gand A,1438247.0,1240369.0
Salaries And Wages,1827250.0,2579222.0
Total Revenue,0.0,0.0
Operating Revenue,0.0,0.0
