,2023-07-31,2022-07-31
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.0,0.2621
Normalized EBITDA,-6821977.0,
Total Unusual Items,55764.0,
Total Unusual Items Excluding Goodwill,55764.0,
Net Income From Continuing Operation Net Minority Interest,-6702159.0,-96789.995834
Reconciled Depreciation,1849.0,
EBITDA,-6766213.0,
EBIT,-6768062.0,
Normalized Income,-6757923.0,-96789.995834
Net Income From Continuing And Discontinued Operation,-6702159.0,-96789.995834
Total Expenses,6768062.0,
Diluted Average Shares,30398859.0,7467578.0
Basic Average Shares,30398859.0,7467578.0
Diluted EPS,-0.22,-0.012961
Basic EPS,-0.22,-0.012961
Diluted NI Availto Com Stockholders,-6702159.0,-96789.995834
Net Income Common Stockholders,-6702159.0,-96789.995834
Net Income,-6702159.0,-96789.995834
Net Income Including Noncontrolling Interests,-6702159.0,-96789.995834
Net Income Continuous Operations,-6702159.0,-96789.995834
Pretax Income,-6702159.0,
Other Income Expense,65903.0,
Other Non Operating Income Expenses,10139.0,
Special Income Charges,0.0,
Write Off,0.0,
Gain On Sale Of Security,55764.0,
Operating Income,-6768062.0,
Operating Expense,6768062.0,
Other Operating Expenses,912436.0,
Depreciation Amortization Depletion Income Statement,1849.0,
Depreciation And Amortization In Income Statement,1849.0,
Depreciation Income Statement,1849.0,
Selling General And Administration,5853777.0,
Selling And Marketing Expense,914409.0,
General And Administrative Expense,4939368.0,
Other Gand A,2323445.0,
Salaries And Wages,2615923.0,
Total Revenue,0.0,0.0
Operating Revenue,0.0,0.0
