,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.0,0.0
Normalized EBITDA,-50201000.0,-44123000.0
Net Income From Continuing Operation Net Minority Interest,-49291000.0,-44192000.0
Reconciled Depreciation,1678000.0,878000.0
EBITDA,-50201000.0,-44123000.0
EBIT,-51879000.0,-45001000.0
Net Interest Income,2808000.0,904000.0
Interest Income,2808000.0,904000.0
Normalized Income,-49291000.0,-44192000.0
Net Income From Continuing And Discontinued Operation,-49291000.0,-44192000.0
Total Expenses,52229000.0,45001000.0
Total Operating Income As Reported,-51879000.0,-45001000.0
Diluted Average Shares,12043558.0,12124749.0
Basic Average Shares,12043558.0,12124749.0
Diluted EPS,-4.09,-3.644776
Basic EPS,-4.09,-3.644776
Diluted NI Availto Com Stockholders,-49291000.0,-44192000.0
Net Income Common Stockholders,-49291000.0,-44192000.0
Net Income,-49291000.0,-44192000.0
Net Income Including Noncontrolling Interests,-49291000.0,-44192000.0
Net Income Continuous Operations,-49291000.0,-44192000.0
Pretax Income,-49291000.0,-44192000.0
Other Income Expense,-220000.0,-95000.0
Other Non Operating Income Expenses,-220000.0,-95000.0
Net Non Operating Interest Income Expense,2808000.0,904000.0
Interest Income Non Operating,2808000.0,904000.0
Operating Income,-51879000.0,-45001000.0
Operating Expense,52229000.0,45001000.0
Research And Development,40616000.0,34771000.0
Selling General And Administration,11613000.0,10230000.0
General And Administrative Expense,11613000.0,10230000.0
Other Gand A,4704000.0,4852000.0
Salaries And Wages,6909000.0,5378000.0
Total Revenue,350000.0,0.0
Operating Revenue,350000.0,0.0
