,2024-09-30,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Free Cash Flow,176783000.0,-146795000.0,-170059000.0,517617000.0,
Repurchase Of Capital Stock,-86853000.0,-120437000.0,-168235000.0,-99878000.0,
Repayment Of Debt,0.0,0.0,-75075000.0,-32000.0,
Issuance Of Debt,0.0,0.0,20000000.0,0.0,
Issuance Of Capital Stock,3000.0,1000.0,1000.0,0.0,
Capital Expenditure,-276754000.0,-449906000.0,-438868000.0,-64028000.0,
Interest Paid Supplemental Data,20909000.0,10819000.0,5259000.0,8207000.0,
Income Tax Paid Supplemental Data,20359000.0,15415000.0,14731000.0,9010000.0,
End Cash Position,158337000.0,375580000.0,388038000.0,314019000.0,
Beginning Cash Position,375580000.0,388038000.0,314019000.0,427367000.0,
Effect Of Exchange Rate Changes,81000.0,331000.0,-1736000.0,476000.0,
Changes In Cash,-217324000.0,-12789000.0,75755000.0,-113824000.0,
Financing Cash Flow,-443200000.0,604858000.0,117818000.0,422933000.0,
Cash Flow From Continuing Financing Activities,-443200000.0,604858000.0,117818000.0,422933000.0,
Net Other Financing Charges,-1186000.0,-5425000.0,-6904000.0,-9564000.0,
Proceeds From Stock Option Exercised,0.0,0.0,2886000.0,3036000.0,
Cash Dividends Paid,-5067000.0,-5426000.0,-5921000.0,-6400000.0,
Common Stock Dividend Paid,-5067000.0,-5426000.0,-5921000.0,-6400000.0,
Net Common Stock Issuance,-86850000.0,-120436000.0,-168234000.0,-99878000.0,
Common Stock Payments,-86853000.0,-120437000.0,-168235000.0,-99878000.0,
Common Stock Issuance,3000.0,1000.0,1000.0,0.0,
Net Issuance Payments Of Debt,364000000.0,13000000.0,-55075000.0,-32000.0,
Net Short Term Debt Issuance,364000000.0,13000000.0,0.0,0.0,
Net Long Term Debt Issuance,0.0,0.0,-55075000.0,-32000.0,
Long Term Debt Payments,0.0,0.0,-75075000.0,-32000.0,
Long Term Debt Issuance,0.0,0.0,20000000.0,0.0,
Investing Cash Flow,-227661000.0,-920758000.0,-310872000.0,-1118402000.0,
Cash Flow From Continuing Investing Activities,-227661000.0,-920758000.0,-310872000.0,-1118402000.0,
Net Other Investing Changes,-1338000.0,1643000.0,4961000.0,7690000.0,
Net Investment Purchase And Sale,201582000.0,25246000.0,-302895000.0,-585134000.0,
Sale Of Investment,205047000.0,182131000.0,604466000.0,456634000.0,
Purchase Of Investment,-3465000.0,-156885000.0,-907361000.0,-1041768000.0,
Net Business Purchase And Sale,,,0.0,0.0,3498000.0
Sale Of Business,,,0.0,0.0,3498000.0
Purchase Of Business,,,,,0.0
Net Intangibles Purchase And Sale,0.0,10000000.0,50000000.0,0.0,
Sale Of Intangibles,0.0,10000000.0,50000000.0,0.0,
Net PPE Purchase And Sale,-267183000.0,-434908000.0,-429461000.0,-47120000.0,
Sale Of PPE,9571000.0,14998000.0,9407000.0,16908000.0,
Purchase Of PPE,-276754000.0,-449906000.0,-438868000.0,-64028000.0,
Operating Cash Flow,453537000.0,303111000.0,268809000.0,581645000.0,
Cash Flow From Continuing Operating Activities,453537000.0,303111000.0,268809000.0,581645000.0,
Change In Working Capital,171609000.0,84914000.0,-34916000.0,43273000.0,
Change In Other Working Capital,-2751000.0,-1497000.0,-2434000.0,-2434000.0,
Change In Other Current Assets,-11747000.0,17134000.0,-32936000.0,825000.0,
Change In Payables And Accrued Expense,176083000.0,48658000.0,-10640000.0,43920000.0,
Change In Accrued Expense,176083000.0,48658000.0,-10640000.0,43920000.0,
Change In Payable,,,,-1344000.0,-7491000.0
Change In Account Payable,,,,-1344000.0,-7491000.0
Change In Receivables,-8103000.0,-5303000.0,-1725000.0,374000.0,
Changes In Account Receivables,-8103000.0,-5303000.0,-1725000.0,374000.0,
Other Non Cash Items,1107000.0,-68803000.0,74332000.0,287189000.0,
Stock Based Compensation,10286000.0,11070000.0,10004000.0,6852000.0,
Asset Impairment Charge,2013000.0,24000.0,670000.0,0.0,
Deferred Tax,11115000.0,-175000.0,17587000.0,-1639000.0,
Deferred Income Tax,11115000.0,-175000.0,17587000.0,-1639000.0,
Depreciation Amortization Depletion,57765000.0,64955000.0,61601000.0,59047000.0,
Depreciation And Amortization,57765000.0,64955000.0,61601000.0,59047000.0,
Depreciation,,64955000.0,61601000.0,59047000.0,60745000.0
Operating Gains Losses,-12669000.0,-12035000.0,-48361000.0,-8588000.0,
Gain Loss On Investment Securities,0.0,0.0,-154000.0,-6000.0,
Gain Loss On Sale Of PPE,0.0,-9935000.0,-49945000.0,0.0,
Gain Loss On Sale Of Business,,,0.0,0.0,-19275000.0
Net Income From Continuing Operations,169650000.0,165807000.0,159354000.0,145745000.0,
