,2022-12-31,2021-12-31
Ordinary Shares Number,10292758.0,10292758.0
Share Issued,10292758.0,10292758.0
Total Debt,3016964.0,3602214.0
Tangible Book Value,-34870780.0,-23428359.0
Invested Capital,-34870780.0,-23428359.0
Working Capital,5912070.0,17685280.0
Net Tangible Assets,-34870780.0,-23428359.0
Capital Lease Obligations,3016964.0,3602214.0
Common Stock Equity,-34870780.0,-23428359.0
Total Capitalization,-34870780.0,-23428359.0
Total Equity Gross Minority Interest,-34870780.0,-23428359.0
Stockholders Equity,-34870780.0,-23428359.0
Retained Earnings,-35800244.0,-23971128.0
Additional Paid In Capital,928560.0,541872.0
Capital Stock,904.0,897.0
Common Stock,904.0,897.0
Total Liabilities Net Minority Interest,46220268.0,47603929.0
Total Non Current Liabilities Net Minority Interest,45056315.0,45765681.0
Preferred Securities Outside Stock Equity,42101344.0,42101344.0
Derivative Product Liabilities,610381.0,647373.0
Long Term Debt And Capital Lease Obligation,2344590.0,3016964.0
Long Term Capital Lease Obligation,2344590.0,3016964.0
Current Liabilities,1163953.0,1838248.0
Current Debt And Capital Lease Obligation,672374.0,585250.0
Current Capital Lease Obligation,672374.0,585250.0
Pensionand Other Post Retirement Benefit Plans Current,19758.0,764303.0
Payables And Accrued Expenses,471821.0,488695.0
Current Accrued Expenses,80636.0,28776.0
Payables,391185.0,459919.0
Accounts Payable,391185.0,459919.0
Total Assets,11349488.0,24175570.0
Total Non Current Assets,4273465.0,4652043.0
Net PPE,4273465.0,4652043.0
Accumulated Depreciation,-1127167.0,-650892.0
Gross PPE,5400632.0,5302935.0
Other Properties,5353880.0,5276238.0
Machinery Furniture Equipment,46752.0,26697.0
Buildings And Improvements,2846041.0,3442575.0
Properties,0.0,0.0
Current Assets,7076023.0,19523528.0
Other Current Assets,256459.0,306046.0
Cash Cash Equivalents And Short Term Investments,6819564.0,19217482.0
Cash And Cash Equivalents,6819564.0,19217482.0
Cash Financial,6819564.0,19217482.0
