,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0
Normalized EBITDA,-11559000.0,2558000.0,4529000.0
Total Unusual Items,-4257000.0,276000.0,-1476000.0
Total Unusual Items Excluding Goodwill,-4257000.0,276000.0,-1476000.0
Net Income From Continuing Operation Net Minority Interest,-25123000.0,-8119000.0,-11064000.0
Reconciled Depreciation,8512000.0,8248000.0,5878000.0
Reconciled Cost Of Revenue,9163000.0,9832000.0,6937000.0
EBITDA,-15816000.0,2834000.0,3053000.0
EBIT,-24328000.0,-5414000.0,-2825000.0
Net Interest Income,-13910000.0,-12912000.0,-9536000.0
Interest Expense,13910000.0,12912000.0,9536000.0
Normalized Income,-20866000.0,-8395000.0,-9588000.0
Net Income From Continuing And Discontinued Operation,-25123000.0,-8119000.0,-11064000.0
Total Expenses,51522000.0,34897000.0,21990000.0
Diluted Average Shares,13244388.0,13089848.0,13089848.0
Basic Average Shares,13244388.0,13089848.0,13089848.0
Diluted EPS,-2.45,-0.85,-1.07442
Basic EPS,-2.45,-0.85,-1.07442
Diluted NI Availto Com Stockholders,-32475000.0,-11119000.0,-14064000.0
Net Income Common Stockholders,-32475000.0,-11119000.0,-14064000.0
Preferred Stock Dividends,7352000.0,3000000.0,3000000.0
Net Income,-25123000.0,-8119000.0,-11064000.0
Minority Interests,13115000.0,10207000.0,1297000.0
Net Income Including Noncontrolling Interests,-38238000.0,-18326000.0,-12361000.0
Net Income Continuous Operations,-38238000.0,-18326000.0,-12361000.0
Pretax Income,-38238000.0,-18326000.0,-12361000.0
Other Income Expense,-3078000.0,382000.0,-1259000.0
Other Non Operating Income Expenses,1179000.0,106000.0,217000.0
Special Income Charges,-4917000.0,328000.0,-1476000.0
Other Special Charges,,-328000.0,-348000.0
Impairment Of Capital Assets,8982000.0,0.0,
Restructuring And Mergern Acquisition,-4065000.0,0.0,1824000.0
Gain On Sale Of Security,660000.0,-52000.0,
Net Non Operating Interest Income Expense,-13910000.0,-12912000.0,-9536000.0
Interest Expense Non Operating,13910000.0,12912000.0,9536000.0
Operating Income,-21250000.0,-5796000.0,-1566000.0
Operating Expense,42359000.0,25065000.0,15025000.0
Other Operating Expenses,18963000.0,5592000.0,
Depreciation Amortization Depletion Income Statement,8512000.0,8248000.0,5850000.0
Depreciation And Amortization In Income Statement,8512000.0,8248000.0,5850000.0
Selling General And Administration,14884000.0,11225000.0,9175000.0
General And Administrative Expense,14884000.0,11225000.0,9175000.0
Other Gand A,14884000.0,11225000.0,9175000.0
Gross Profit,21109000.0,19269000.0,13459000.0
Cost Of Revenue,9163000.0,9832000.0,6965000.0
Total Revenue,30272000.0,29101000.0,20424000.0
Operating Revenue,30272000.0,29101000.0,20424000.0
