,2023-12-31,2022-12-31
Ordinary Shares Number,10879905.0,10879905.0
Share Issued,10879905.0,10879905.0
Tangible Book Value,52623533.0,56764040.0
Net Tangible Assets,52623533.0,56764040.0
Common Stock Equity,52623533.0,56764040.0
Total Equity Gross Minority Interest,52623533.0,56764040.0
Stockholders Equity,52623533.0,56764040.0
Retained Earnings,-33449785.0,-7957960.0
Capital Stock,86073318.0,64722000.0
Common Stock,86073318.0,64722000.0
Total Liabilities Net Minority Interest,838427.0,5122288.0
Derivative Product Liabilities,,3571824.0
Payables,838427.0,1550464.0
Other Payable,838427.0,1550464.0
Total Assets,53461960.0,61886328.0
Investments And Advances,53207637.0,49604108.0
Investmentin Financial Assets,53207637.0,49604108.0
Available For Sale Securities,4833833.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,48373804.0,49604108.0
Prepaid Assets,61941.0,
Receivables,192382.0,184250.0
Cash And Cash Equivalents,,12025800.0
Cash Financial,,12025800.0
Cash Cash Equivalents And Federal Funds Sold,,12025800.0
