,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-29446.8,0.0
Tax Rate For Calcs,0.0053,0.0
Normalized EBITDA,-13116000.0,-12135345.0
Total Unusual Items,-5556000.0,10637431.0
Total Unusual Items Excluding Goodwill,-5556000.0,10637431.0
Net Income From Continuing Operation Net Minority Interest,-29175000.0,9207884.0
Reconciled Depreciation,4797000.0,
Reconciled Cost Of Revenue,1152000.0,
EBITDA,-18672000.0,-1497914.0
EBIT,-23469000.0,-1497914.0
Net Interest Income,4000.0,68367.0
Interest Income,421580.0,68367.0
Normalized Income,-23648446.8,-1429547.0
Net Income From Continuing And Discontinued Operation,-29175000.0,9207884.0
Total Expenses,31939000.0,1497914.0
Total Operating Income As Reported,-29025000.0,-1497914.0
Diluted Average Shares,7287551.0,34500000.0
Basic Average Shares,7287551.0,34500000.0
Diluted EPS,-4.003403,0.27
Basic EPS,-4.003403,0.27
Diluted NI Availto Com Stockholders,-29175000.0,9207884.0
Net Income Common Stockholders,-29175000.0,9207884.0
Net Income,-29175000.0,9207884.0
Net Income Including Noncontrolling Interests,-29175000.0,9207884.0
Net Income Continuous Operations,-29175000.0,9207884.0
Tax Provision,153000.0,0.0
Pretax Income,-29022000.0,9207884.0
Other Income Expense,-5557000.0,10637431.0
Other Non Operating Income Expenses,-1000.0,
Special Income Charges,-5556000.0,
Impairment Of Capital Assets,5540000.0,
Restructuring And Mergern Acquisition,16000.0,
Gain On Sale Of Security,10552969.0,10637431.0
Net Non Operating Interest Income Expense,4000.0,68367.0
Total Other Finance Cost,-4000.0,
Interest Income Non Operating,421580.0,68367.0
Operating Income,-23469000.0,-1497914.0
Operating Expense,29875000.0,1497914.0
Other Operating Expenses,2950464.0,1497914.0
Depreciation Amortization Depletion Income Statement,3885000.0,
Depreciation And Amortization In Income Statement,3885000.0,
Amortization,3885000.0,
Amortization Of Intangibles Income Statement,3885000.0,
Research And Development,9323000.0,
Selling General And Administration,16667000.0,
Selling And Marketing Expense,5096000.0,
General And Administrative Expense,11571000.0,
Other Gand A,11571000.0,
Gross Profit,6406000.0,
Cost Of Revenue,2064000.0,
Total Revenue,8470000.0,0.0
Operating Revenue,8470000.0,0.0
