,2024-03-31,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,-5880.0,-26400.0,-4845.0,-2000.0,
Tax Rate For Calcs,0.21,0.075,0.005,0.01,
Normalized EBITDA,25974000.0,19628000.0,11356000.0,-16198000.0,
Total Unusual Items,-28000.0,-352000.0,-969000.0,-200000.0,
Total Unusual Items Excluding Goodwill,-28000.0,-352000.0,-969000.0,-200000.0,
Net Income From Continuing Operation Net Minority Interest,86195000.0,14582000.0,6478000.0,-21001000.0,
Reconciled Depreciation,5262000.0,3512000.0,3864000.0,4791000.0,
Reconciled Cost Of Revenue,93208000.0,77246000.0,61104000.0,47800000.0,
EBITDA,25946000.0,19276000.0,10387000.0,-16398000.0,
EBIT,20684000.0,15764000.0,6523000.0,-21189000.0,
Net Interest Income,5083000.0,2192000.0,47000.0,87000.0,
Interest Expense,0.0,0.0,12000.0,20000.0,
Interest Income,5083000.0,2192000.0,59000.0,107000.0,
Normalized Income,86217120.0,14907600.0,7442155.0,-20803000.0,
Net Income From Continuing And Discontinued Operation,86195000.0,14582000.0,6478000.0,-21001000.0,
Total Expenses,221683000.0,184838000.0,155348000.0,157934000.0,
Total Operating Income As Reported,15753000.0,12875000.0,6319000.0,-20958000.0,
Diluted Average Shares,26842000.0,25929000.0,25483000.0,23458000.0,
Basic Average Shares,25668000.0,24694000.0,24357000.0,23458000.0,
Diluted EPS,3.17,0.49,0.18,-1.01,
Basic EPS,3.31,0.52,0.19,-1.01,
Diluted NI Availto Com Stockholders,84991000.0,12746000.0,4642000.0,-23608000.0,
Net Income Common Stockholders,84991000.0,12746000.0,4642000.0,-23608000.0,
Preferred Stock Dividends,1204000.0,1836000.0,1836000.0,2607000.0,
Net Income,86195000.0,14582000.0,6478000.0,-21001000.0,
Net Income Including Noncontrolling Interests,86195000.0,14582000.0,6478000.0,-21001000.0,
Net Income Continuous Operations,86195000.0,14582000.0,6478000.0,-21001000.0,
Tax Provision,-65511000.0,1182000.0,33000.0,-208000.0,
Pretax Income,20684000.0,15764000.0,6511000.0,-21209000.0,
Other Income Expense,-180000.0,345000.0,-824000.0,-538000.0,
Other Non Operating Income Expenses,-152000.0,697000.0,145000.0,-338000.0,
Special Income Charges,-28000.0,-352000.0,-969000.0,-200000.0,
Other Special Charges,28000.0,352000.0,969000.0,200000.0,
Impairment Of Capital Assets,,,0.0,0.0,23740000.0
Restructuring And Mergern Acquisition,,,1584000.0,2529000.0,582000.0
Net Non Operating Interest Income Expense,5083000.0,2192000.0,47000.0,87000.0,
Interest Expense Non Operating,0.0,0.0,12000.0,20000.0,
Interest Income Non Operating,5083000.0,2192000.0,59000.0,107000.0,
Operating Income,15781000.0,13227000.0,7288000.0,-20758000.0,
Operating Expense,128475000.0,107592000.0,94244000.0,110134000.0,
Other Operating Expenses,1756000.0,435000.0,1584000.0,2529000.0,
Depreciation Amortization Depletion Income Statement,5262000.0,3512000.0,3864000.0,4791000.0,
Depreciation And Amortization In Income Statement,5262000.0,3512000.0,3864000.0,4791000.0,
Amortization,1366000.0,1743000.0,1654000.0,1959000.0,
Amortization Of Intangibles Income Statement,1366000.0,1743000.0,1654000.0,1959000.0,
Depreciation Income Statement,3896000.0,1769000.0,2210000.0,2832000.0,
Research And Development,56739000.0,50260000.0,46332000.0,55345000.0,
Selling General And Administration,64718000.0,53385000.0,42464000.0,47469000.0,
Selling And Marketing Expense,28439000.0,22716000.0,14730000.0,14196000.0,
General And Administrative Expense,36279000.0,30669000.0,27734000.0,33273000.0,
Other Gand A,36279000.0,30669000.0,27734000.0,33273000.0,
Gross Profit,144256000.0,120819000.0,101532000.0,89376000.0,
Cost Of Revenue,93208000.0,77246000.0,61104000.0,47800000.0,
Total Revenue,237464000.0,198065000.0,162636000.0,137176000.0,
Operating Revenue,237464000.0,198065000.0,162636000.0,137176000.0,
