,2023-12-31,2022-12-31
Ordinary Shares Number,6418920.0,6418920.0
Share Issued,6418920.0,6418920.0
Total Debt,5000000.0,5000000.0
Tangible Book Value,83437000.0,68783000.0
Invested Capital,88437000.0,73783000.0
Net Tangible Assets,83437000.0,68783000.0
Common Stock Equity,83437000.0,68783000.0
Total Equity Gross Minority Interest,83437000.0,68783000.0
Stockholders Equity,83437000.0,68783000.0
Gains Losses Not Affecting Retained Earnings,-11565000.0,-17648000.0
Other Equity Adjustments,-11565000.0,-17648000.0
Retained Earnings,56692000.0,48121000.0
Additional Paid In Capital,38283000.0,38283000.0
Capital Stock,27000.0,27000.0
Common Stock,27000.0,27000.0
Preferred Stock,0.0,0.0
Total Liabilities Net Minority Interest,1121765000.0,961901000.0
Current Debt And Capital Lease Obligation,5000000.0,5000000.0
Current Debt,5000000.0,5000000.0
Line Of Credit,5000000.0,5000000.0
Payables And Accrued Expenses,61000.0,20000.0
Payables,61000.0,20000.0
Accounts Payable,61000.0,20000.0
Total Assets,1205202000.0,1030684000.0
Investments And Advances,566677000.0,592649000.0
Held To Maturity Securities,308058000.0,312567000.0
Available For Sale Securities,161315000.0,486000.0
Net PPE,9858000.0,10080000.0
Accumulated Depreciation,-6791000.0,-6300000.0
Gross PPE,16649000.0,16380000.0
Construction In Progress,464000.0,394000.0
Machinery Furniture Equipment,2280000.0,2095000.0
Buildings And Improvements,11647000.0,11633000.0
Land And Improvements,2258000.0,2258000.0
Receivables,4354000.0,4313000.0
Accounts Receivable,4354000.0,4313000.0
Other Short Term Investments,97304000.0,279596000.0
Cash And Cash Equivalents,316767000.0,98663000.0
Cash Financial,6035000.0,6773000.0
Cash Cash Equivalents And Federal Funds Sold,319380000.0,101164000.0
