,2023-07-31,2022-07-31
Free Cash Flow,-3408144.0,-54789.162668
Issuance Of Capital Stock,0.0,56629.842778
Interest Paid Supplemental Data,0.0,
Income Tax Paid Supplemental Data,0.0,
End Cash Position,489971.0,1840.68011
Beginning Cash Position,3755655.0,0.0
Effect Of Exchange Rate Changes,-159534.0,
Changes In Cash,-3106150.0,1840.68011
Financing Cash Flow,301984.0,56629.842778
Cash Flow From Continuing Financing Activities,301984.0,56629.842778
Proceeds From Stock Option Exercised,301984.0,
Net Common Stock Issuance,0.0,56629.842778
Common Stock Issuance,0.0,56629.842778
Investing Cash Flow,10.0,
Cash Flow From Continuing Investing Activities,10.0,
Net Business Purchase And Sale,10.0,
Sale Of Business,10.0,
Net Intangibles Purchase And Sale,0.0,
Purchase Of Intangibles,0.0,
Net PPE Purchase And Sale,0.0,
Purchase Of PPE,0.0,
Operating Cash Flow,-3408144.0,-54789.162668
Cash Flow From Continuing Operating Activities,-3408144.0,-54789.162668
Change In Working Capital,662391.0,42000.833166
Change In Payables And Accrued Expense,590721.0,42000.833166
Change In Accrued Expense,,42000.833166
Change In Prepaid Assets,115817.0,
Change In Receivables,-44147.0,
Other Non Cash Items,790964.0,
Stock Based Compensation,1838811.0,
Asset Impairment Charge,0.0,
Depreciation Amortization Depletion,1849.0,
Depreciation And Amortization,1849.0,
Depreciation,1849.0,
Net Income From Continuing Operations,-6702159.0,-96789.995834
