,2023-12-31,2022-12-31
Free Cash Flow,-37528000.0,-36284000.0
Repayment Of Debt,-1000000.0,0.0
Issuance Of Debt,36000000.0,2500000.0
Capital Expenditure,-166000.0,-103000.0
Interest Paid Supplemental Data,1155000.0,129000.0
End Cash Position,24957000.0,27644000.0
Beginning Cash Position,27644000.0,61183000.0
Effect Of Exchange Rate Changes,0.0,246000.0
Changes In Cash,-2687000.0,-33785000.0
Financing Cash Flow,34941000.0,2499000.0
Cash Flow From Continuing Financing Activities,34941000.0,2499000.0
Net Other Financing Charges,-63000.0,-45000.0
Proceeds From Stock Option Exercised,4000.0,44000.0
Net Issuance Payments Of Debt,35000000.0,2500000.0
Net Short Term Debt Issuance,23500000.0,0.0
Short Term Debt Issuance,23500000.0,0.0
Net Long Term Debt Issuance,11500000.0,2500000.0
Long Term Debt Payments,-1000000.0,0.0
Long Term Debt Issuance,12500000.0,2500000.0
Investing Cash Flow,-266000.0,-103000.0
Cash Flow From Continuing Investing Activities,-266000.0,-103000.0
Net Investment Purchase And Sale,-100000.0,0.0
Purchase Of Investment,-100000.0,0.0
Net PPE Purchase And Sale,-166000.0,-103000.0
Purchase Of PPE,-166000.0,-103000.0
Operating Cash Flow,-37362000.0,-36181000.0
Cash Flow From Continuing Operating Activities,-37362000.0,-36181000.0
Change In Working Capital,6710000.0,795000.0
Change In Other Working Capital,3313000.0,
Change In Other Current Assets,25000.0,352000.0
Change In Payables And Accrued Expense,3335000.0,473000.0
Change In Accrued Expense,3728000.0,-521000.0
Change In Payable,-393000.0,994000.0
Change In Account Payable,-393000.0,994000.0
Change In Prepaid Assets,37000.0,-30000.0
Other Non Cash Items,6513000.0,100000.0
Stock Based Compensation,3016000.0,2540000.0
Depreciation Amortization Depletion,162000.0,129000.0
Depreciation And Amortization,162000.0,129000.0
Depreciation,162000.0,129000.0
Operating Gains Losses,10091000.0,-23000.0
Gain Loss On Investment Securities,10091000.0,-23000.0
Net Income From Continuing Operations,-63854000.0,-39722000.0
